#Subject	Angle	Frequency	Speed	Average_cursor_speed
08	120	2	1.46	217.132025202
08	120	30	1.46	244.152001745
08	120	4	1.46	128.620865352
08	120	8	1.46	171.231484158
08	180	13	1.46	250.788827216
08	180	1	1.46	256.382983598
08	180	20	1.46	244.199197716
08	180	2	1.46	180.505561766
08	180	30	1.46	260.787800878
08	180	4	1.46	225.645403632
08	180	8	1.46	229.241040838
08	30	13	1.46	303.952162921
08	30	1	1.46	245.639903172
08	30	20	1.46	195.296403086
08	30	2	1.46	318.693090755
08	30	30	1.46	287.547765305
08	30	4	1.46	222.680022472
08	30	8	1.46	282.374014991
08	60	13	1.46	292.281240084
08	60	1	1.46	259.509836622
08	60	20	1.46	178.313475032
08	60	2	1.46	223.519273417
08	60	30	1.46	171.641446721
08	60	4	1.46	182.40343869
08	60	8	1.46	206.691565336
08	90	13	1.46	125.779077046
08	90	1	1.46	262.69575278
08	90	20	1.46	179.236803177
08	90	2	1.46	183.925925853
08	90	30	1.46	205.387069254
08	90	4	1.46	187.368676321
08	90	8	1.46	193.104090681
09	0	13	1.46	286.747020461
09	0	1	1.46	308.913866423
09	0	20	1.46	214.794518922
09	0	2	1.46	252.417882029
09	0	30	1.46	334.423419627
09	0	4	1.46	269.864997748
09	0	8	1.46	258.533846692
09	120	13	1.46	244.688489775
09	120	1	1.46	207.500600051
09	120	20	1.46	194.822440853
09	120	2	1.46	168.376716068
09	120	30	1.46	160.769727413
09	120	4	1.46	105.467909759
09	120	8	1.46	135.523835021
09	180	13	1.46	187.164358769
09	180	1	1.46	141.919773712
09	180	20	1.46	174.869317923
09	180	2	1.46	117.063576603
09	180	30	1.46	272.816634041
09	180	4	1.46	163.314485578
09	180	8	1.46	165.439791714
09	30	13	1.46	352.025975489
09	30	1	1.46	220.531477363
09	30	20	1.46	239.696461217
09	30	2	1.46	300.503549426
09	30	30	1.46	200.000238292
09	30	4	1.46	181.525975704
09	30	8	1.46	210.722286425
09	60	13	1.46	123.683386746
09	60	1	1.46	212.610338795
09	60	20	1.46	138.101661479
09	60	2	1.46	175.260424901
09	60	30	1.46	127.337581153
09	60	4	1.46	185.179955911
09	60	8	1.46	175.216326703
09	90	13	1.46	137.860978174
09	90	1	1.46	301.47753403
09	90	20	1.46	120.945419826
09	90	2	1.46	204.331229246
09	90	30	1.46	127.655165374
09	90	4	1.46	159.261009517
09	90	8	1.46	263.241184069
10	0	13	1.46	186.123686953
10	0	1	1.46	308.841012127
10	0	20	1.46	282.465243624
10	0	2	1.46	236.910021357
10	0	30	1.46	260.396903362
10	0	4	1.46	248.300795291
10	0	8	1.46	233.894576632
10	120	13	1.46	135.043182902
10	120	1	1.46	242.855873554
10	120	20	1.46	125.159012046
10	120	2	1.46	137.278083405
10	120	30	1.46	206.783929157
10	120	4	1.46	113.010458223
10	120	8	1.46	154.040702217
10	180	13	1.46	138.350585807
10	180	1	1.46	206.226401197
10	180	20	1.46	229.035125318
10	180	2	1.46	122.349933038
10	180	30	1.46	250.561594242
10	180	4	1.46	120.649496324
10	180	8	1.46	149.28766636
10	30	13	1.46	264.526579244
10	30	1	1.46	268.341815532
10	30	20	1.46	239.438515817
10	30	2	1.46	214.973899124
10	30	30	1.46	236.731190604
10	30	4	1.46	185.555993492
10	30	8	1.46	227.629897859
10	60	13	1.46	145.35819811
10	60	1	1.46	303.532161324
10	60	20	1.46	96.6463878277
10	60	2	1.46	198.66603766
10	60	30	1.46	127.919315598
10	60	4	1.46	209.651231715
10	60	8	1.46	282.853900442
10	90	13	1.46	152.170751879
10	90	1	1.46	229.567921402
10	90	20	1.46	120.849175406
10	90	2	1.46	209.064668619
10	90	30	1.46	203.7835682
10	90	4	1.46	153.877539186
10	90	8	1.46	136.049419311
11	0	13	1.46	227.571254027
11	0	1	1.46	238.99940282
11	0	20	1.46	195.657195736
11	0	2	1.46	295.964267867
11	0	30	1.46	227.078023041
11	0	4	1.46	286.711049806
11	0	8	1.46	289.987757488
11	120	13	1.46	104.812612731
11	120	1	1.46	152.560217142
11	120	20	1.46	196.306410623
11	120	2	1.46	158.633365631
11	120	30	1.46	232.296275128
11	120	4	1.46	168.315534827
11	120	8	1.46	140.188031283
11	180	13	1.46	268.676363992
11	180	1	1.46	216.172563238
11	180	20	1.46	186.308210727
11	180	2	1.46	123.3000708
11	180	30	1.46	199.06519709
11	180	4	1.46	193.720971896
11	180	8	1.46	162.107189559
11	30	13	1.46	218.479549271
11	30	1	1.46	205.976586274
11	30	20	1.46	216.814886251
11	30	2	1.46	195.283969448
11	30	30	1.46	143.673472763
11	30	4	1.46	194.297470121
11	30	8	1.46	143.246965012
11	60	13	1.46	141.230378661
11	60	1	1.46	220.364720817
11	60	20	1.46	136.58216523
11	60	2	1.46	251.505651152
11	60	30	1.46	184.50607369
11	60	4	1.46	247.80995905
11	60	8	1.46	162.364003297
11	90	13	1.46	105.701375864
11	90	1	1.46	188.835073182
11	90	20	1.46	105.775844295
11	90	2	1.46	263.047435904
11	90	30	1.46	136.226616152
11	90	4	1.46	150.749294967
11	90	8	1.46	151.260506484
12	0	13	1.46	234.126617212
12	0	1	1.46	269.560107159
12	0	20	1.46	350.880647757
12	0	2	1.46	280.731302642
12	0	30	1.46	296.503533334
12	0	4	1.46	209.512259884
12	0	8	1.46	251.123697542
12	120	13	1.46	172.008902561
12	120	1	1.46	329.010005901
12	120	20	1.46	255.280173752
12	120	2	1.46	179.15485383
12	120	30	1.46	239.94195813
12	120	4	1.46	163.263749372
12	120	8	1.46	140.732543477
12	180	13	1.46	249.768895831
12	180	1	1.46	241.441487711
12	180	20	1.46	251.447466525
12	180	2	1.46	164.307826363
12	180	30	1.46	299.200386354
12	180	4	1.46	243.941304898
12	180	8	1.46	174.709870705
12	30	13	1.46	279.809213412
12	30	1	1.46	318.484011527
12	30	20	1.46	184.672956329
12	30	2	1.46	215.089495718
12	30	30	1.46	144.598906508
