#Subject	Angle	Frequency	Speed	Average_cursor_speed
05	0	13	0.73	6.73547606682
05	0	1	0.73	8.48736523287
05	0	20	0.73	7.52066318649
05	0	2	0.73	13.0073671958
05	0	30	0.73	8.79521680634
05	0	4	0.73	10.1657802582
05	0	8	0.73	7.7586371556
05	120	13	0.73	8.23552355111
05	120	1	0.73	7.31354097802
05	120	20	0.73	9.31041421699
05	120	2	0.73	11.155636579
05	120	30	0.73	7.38596750951
05	120	4	0.73	5.99952876395
05	120	8	0.73	8.80551387017
05	180	13	0.73	7.4886221558
05	180	1	0.73	9.00855776063
05	180	20	0.73	7.57480987591
05	180	2	0.73	11.0057566058
05	180	30	0.73	1.86484158467
05	180	4	0.73	7.290130049
05	180	8	0.73	6.19151967628
05	30	13	0.73	8.79838792164
05	30	1	0.73	3.73134238586
05	30	20	0.73	11.1140659075
05	30	2	0.73	10.3968740454
05	30	30	0.73	9.25138895763
05	30	4	0.73	10.2711998817
05	30	8	0.73	8.75118009305
05	60	13	0.73	8.79061034282
05	60	1	0.73	5.10207435952
05	60	20	0.73	6.13247866559
05	60	2	0.73	12.0810452919
05	60	30	0.73	10.1932631051
05	60	4	0.73	7.43974486731
05	60	8	0.73	7.53124269672
05	90	13	0.73	7.59434754124
05	90	1	0.73	9.47020351133
05	90	20	0.73	7.65553023956
05	90	2	0.73	8.22975287064
05	90	30	0.73	9.15872446607
05	90	4	0.73	7.8966017617
05	90	8	0.73	9.65444311003
06	0	13	0.73	8.3050903387
06	0	1	0.73	7.74350504718
06	0	20	0.73	7.78215297863
06	0	2	0.73	8.47852721819
06	0	30	0.73	5.49408729423
06	0	4	0.73	8.18786900041
06	0	8	0.73	7.14446950642
06	120	13	0.73	6.94580215879
06	120	1	0.73	6.27378941774
06	120	20	0.73	8.91707154761
06	120	2	0.73	8.46079561707
06	120	30	0.73	7.58762043983
06	120	4	0.73	6.37522166557
06	120	8	0.73	7.65894713294
06	180	13	0.73	8.25908987608
06	180	1	0.73	6.8760234223
06	180	20	0.73	10.2101706252
06	180	2	0.73	7.04270582027
06	180	30	0.73	1.06038179143
06	180	4	0.73	8.7651265424
06	180	8	0.73	8.95942229436
06	30	13	0.73	6.92943698052
06	30	1	0.73	1.01036368872
06	30	20	0.73	7.30224691433
06	30	2	0.73	8.78884307662
06	30	30	0.73	5.57763568994
06	30	4	0.73	9.86168968964
06	30	8	0.73	7.82331248666
06	60	13	0.73	6.16987763802
06	60	1	0.73	6.17448230331
06	60	20	0.73	6.96857154751
06	60	2	0.73	8.77797911659
06	60	30	0.73	6.22383814731
06	60	4	0.73	5.94551149298
06	60	8	0.73	7.0700175799
06	90	13	0.73	5.707427568
06	90	1	0.73	7.85290922142
06	90	20	0.73	6.53811027597
06	90	2	0.73	7.3436838128
06	90	30	0.73	7.51679193937
06	90	4	0.73	7.3736608504
06	90	8	0.73	7.63212564986
07	0	13	0.73	7.74508694854
07	0	1	0.73	6.97894800137
07	0	20	0.73	8.8104618654
07	0	2	0.73	6.54764944353
07	0	30	0.73	7.16069058959
07	0	4	0.73	7.60797829513
07	0	8	0.73	7.28725193635
07	120	13	0.73	5.81473166321
07	120	1	0.73	6.30299632427
07	120	20	0.73	4.84174352703
07	120	2	0.73	5.80540632582
07	120	30	0.73	6.03183307554
07	120	4	0.73	7.28711772053
07	120	8	0.73	7.49954856611
07	180	13	0.73	8.81300356296
07	180	1	0.73	7.10512209094
07	180	20	0.73	11.7860824274
07	180	2	0.73	5.21172568769
07	180	30	0.73	1.07761739406
07	180	4	0.73	9.56824844013
07	180	8	0.73	3.99576407208
07	30	13	0.73	10.1234369203
07	30	1	0.73	6.72362339663
07	30	20	0.73	6.67762922625
07	30	2	0.73	8.64675118831
07	30	30	0.73	6.23339346022
07	30	4	0.73	5.98292982473
07	30	8	0.73	5.79064195671
07	60	13	0.73	3.82313360999
07	60	1	0.73	8.87799472146
07	60	20	0.73	7.2595624756
07	60	2	0.73	7.77548255047
07	60	30	0.73	4.19286914998
07	60	4	0.73	6.30726478628
07	60	8	0.73	4.02584933852
07	90	13	0.73	5.97903359678
07	90	1	0.73	8.46877398365
07	90	20	0.73	7.8579572917
07	90	2	0.73	6.48270515325
07	90	30	0.73	4.81011672312
07	90	4	0.73	7.05364099729
07	90	8	0.73	4.40015327639
08	0	13	0.73	7.22106643825
08	0	1	0.73	6.65845957813
08	0	20	0.73	6.95390662276
08	0	2	0.73	7.38818501441
08	0	30	0.73	7.35498272
08	0	4	0.73	6.99954332683
08	0	8	0.73	7.62495507361
08	120	13	0.73	5.81998693085
08	120	1	0.73	6.85757928495
08	120	20	0.73	6.77013816997
08	120	2	0.73	5.93340971499
08	120	30	0.73	7.85689194738
08	120	4	0.73	6.9778187499
08	120	8	0.73	8.47733787729
08	180	13	0.73	6.82956338773
08	180	1	0.73	6.6764837258
08	180	20	0.73	8.68472849856
08	180	2	0.73	7.21264433348
08	180	30	0.73	0.431573348068
08	180	4	0.73	7.74228128484
08	180	8	0.73	7.55878812814
08	30	13	0.73	6.38406166168
08	30	1	0.73	3.47638577662
08	30	20	0.73	7.46938756275
08	30	2	0.73	8.30184945467
08	30	30	0.73	8.84570195456
08	30	4	0.73	6.78336498134
08	30	8	0.73	7.53464393453
08	60	13	0.73	4.81813504487
08	60	1	0.73	6.361668554
08	60	20	0.73	4.59252827978
08	60	2	0.73	7.2472446048
08	60	30	0.73	6.16221623424
08	60	4	0.73	8.49324583328
08	60	8	0.73	5.59450402576
08	90	13	0.73	6.22540586342
08	90	1	0.73	7.20007315041
08	90	20	0.73	8.04239272757
08	90	2	0.73	6.99036830911
08	90	30	0.73	7.33576009253
08	90	4	0.73	6.88058459385
08	90	8	0.73	7.00001222433
09	0	13	0.73	6.88227220133
09	0	1	0.73	5.38869545049
09	0	20	0.73	9.25441708993
09	0	2	0.73	6.2226052292
09	0	30	0.73	5.01990451429
09	0	4	0.73	7.71695381075
09	0	8	0.73	6.56142030393
09	120	13	0.73	7.8370795897
09	120	1	0.73	7.89210279632
09	120	20	0.73	6.62561258697
09	120	2	0.73	6.20836610791
09	120	30	0.73	8.03474158965
09	120	4	0.73	4.20301057354
09	120	8	0.73	5.88787395233
09	180	13	0.73	6.37444681206
09	180	1	0.73	7.28722176412
09	180	20	0.73	6.05631846235
09	180	2	0.73	4.90630308607
09	180	30	0.73	2.16725366002
09	180	4	0.73	4.72055606599
09	180	8	0.73	5.12786540428
09	30	13	0.73	6.32088691537
09	30	1	0.73	2.47654585912
09	30	20	0.73	6.07209185279
09	30	2	0.73	7.51038672981
09	30	30	0.73	4.90920860954
09	30	4	0.73	8.019627743
09	30	8	0.73	6.0606505817
09	60	13	0.73	5.62769220422
09	60	1	0.73	9.02747077358
09	60	20	0.73	5.87351941976
09	60	2	0.73	9.76206283545
09	60	30	0.73	5.28582712953
09	60	4	0.73	5.75013189925
09	60	8	0.73	4.98764570024
09	90	13	0.73	5.84262994121
09	90	1	0.73	8.50371729487
09	90	20	0.73	8.70159072836
09	90	2	0.73	9.70091331897
09	90	30	0.73	4.72965942031
09	90	4	0.73	8.02798578216
09	90	8	0.73	7.84713407973
10	0	13	0.73	6.94586053081
10	0	1	0.73	6.63978318796
10	0	20	0.73	6.82381768512
10	0	2	0.73	5.52252989471
10	0	30	0.73	6.51137526732
10	0	4	0.73	6.48391980183
10	0	8	0.73	7.40928282321
10	120	13	0.73	4.73923016601
10	120	1	0.73	6.55162653641
10	120	20	0.73	6.76767331915
10	120	2	0.73	6.17022206495
10	120	30	0.73	5.50881388997
10	120	4	0.73	7.26023298038
10	120	8	0.73	5.86312408139
10	180	13	0.73	5.77318167059
10	180	1	0.73	5.96663772702
10	180	20	0.73	7.07640158403
10	180	2	0.73	3.53980117058
10	180	30	0.73	1.79808826113
10	180	4	0.73	7.07192544603
10	180	8	0.73	6.66148576424
10	30	13	0.73	8.77475837406
10	30	1	0.73	0.317147420141
10	30	20	0.73	6.41603769395
10	30	2	0.73	7.14945448143
10	30	30	0.73	6.16978217226
10	30	4	0.73	7.07900285713
10	30	8	0.73	7.27449591606
10	60	13	0.73	9.84893311201
10	60	1	0.73	7.55866061756
10	60	20	0.73	4.64733254096
10	60	2	0.73	6.02239475488
10	60	30	0.73	8.07620505389
10	60	4	0.73	6.41420011031
10	60	8	0.73	4.22589318884
10	90	13	0.73	4.82532556436
10	90	1	0.73	6.42408972927
10	90	20	0.73	5.98794091761
10	90	2	0.73	5.63274856955
10	90	30	0.73	5.14419576432
10	90	4	0.73	6.12427963872
10	90	8	0.73	7.71209923043
11	0	13	0.73	5.00767901899
11	0	1	0.73	6.20419968789
11	0	20	0.73	6.41853739194
11	0	2	0.73	7.24259766373
11	0	30	0.73	6.40372177117
11	0	4	0.73	6.89678476132
11	0	8	0.73	4.62733416252
11	120	13	0.73	4.91461870236
11	120	1	0.73	6.52893822119
11	120	20	0.73	7.02809788839
11	120	2	0.73	5.83953679117
11	120	30	0.73	7.20214857909
11	120	4	0.73	5.27567868699
11	120	8	0.73	6.36393053387
11	180	13	0.73	5.98669490817
11	180	1	0.73	7.66641832763
11	180	20	0.73	6.50437766479
11	180	2	0.73	5.30026760312
11	180	30	0.73	1.32975196313
11	180	4	0.73	5.79751238421
11	180	8	0.73	6.20449355088
11	30	13	0.73	6.18944995506
11	30	1	0.73	3.17268820679
11	30	20	0.73	7.4985061012
11	30	2	0.73	6.57269257864
11	30	30	0.73	5.80616863751
11	30	4	0.73	4.61212499345
11	30	8	0.73	7.59973754318
11	60	13	0.73	6.23474947824
11	60	1	0.73	4.94029032448
11	60	20	0.73	3.64410846965
11	60	2	0.73	6.97507657121
11	60	30	0.73	6.19765806693
11	60	4	0.73	6.87279589936
11	60	8	0.73	7.29887638349
11	90	13	0.73	6.08181201677
11	90	1	0.73	5.71671648619
11	90	20	0.73	5.35788552263
11	90	2	0.73	5.22951154567
11	90	30	0.73	5.94211494626
11	90	4	0.73	4.76673134781
11	90	8	0.73	5.93633879408
12	0	13	0.73	7.13094643636
12	0	1	0.73	8.11800827334
12	0	20	0.73	7.91565715013
12	0	2	0.73	7.30821329201
12	0	30	0.73	8.53470740529
12	0	4	0.73	7.57048190096
12	0	8	0.73	7.10111577729
12	120	13	0.73	5.62178826654
12	120	1	0.73	8.30534894241
12	120	20	0.73	7.25907596289
12	120	2	0.73	7.27492078954
12	120	30	0.73	7.00215641441
12	120	4	0.73	7.36329654789
12	120	8	0.73	6.97384944972
12	180	13	0.73	5.85466101299
12	180	1	0.73	7.44207262193
12	180	20	0.73	7.55214939796
12	180	2	0.73	4.489315235
12	180	30	0.73	1.74760219157
12	180	4	0.73	6.82392475257
12	180	8	0.73	6.61614290534
12	30	13	0.73	8.14153699496
12	30	1	0.73	1.2950415446
12	30	20	0.73	6.1287476471
12	30	2	0.73	7.31086867505
12	30	30	0.73	4.93123216984
12	30	4	0.73	7.23709104504
12	30	8	0.73	4.77658251119
12	60	13	0.73	5.62130000721
12	60	1	0.73	6.71041046434
12	60	20	0.73	6.3008900099
12	60	2	0.73	7.8466012014
12	60	30	0.73	6.02620661428
12	60	4	0.73	8.58324382723
12	60	8	0.73	7.06675104672
12	90	13	0.73	4.14155583739
12	90	1	0.73	6.65847074426
12	90	20	0.73	7.52423458991
12	90	2	0.73	6.93301449124
12	90	30	0.73	6.0835012337
12	90	4	0.73	6.49583276993
12	90	8	0.73	6.91478621546
13	0	13	0.73	6.23540544403
13	0	1	0.73	6.19153258774
13	0	20	0.73	7.19843549457
13	0	2	0.73	6.07785689119
13	0	30	0.73	4.91140827841
13	0	4	0.73	4.79867802527
