Angle	Frequency	m	p
180	48	1.0996385741	0.00596481437547

0.5	56	9.9944318506	0.000171034358575
1	56	9.9838907634	0.000324515646704
2	56	9.94675447599	-0.0028254300822
4	56	9.78844557608	-0.00320112680554
8	56	9.18296708704	0.0159244931745
16	56	7.49182517627	0.0326723945332
24	56	5.99658644806	0.0417047583621
32	56	4.97100979856	-0.041120541022
40	56	4.20600556012	-0.027039700546
48	56	3.66287968709	-0.0518725535335
56	56	3.21381492421	-0.0553301328851
64	56	2.85104955561	-0.0377825050479
72	56	2.54371041841	-0.0048174665846
80	56	2.30647611302	-0.0155475330279
96	56	1.93849767217	0.00688202605127
112	56	1.6506283754	-0.00998615913754
128	56	1.44409189535	-0.00823455803582
144	56	1.30144766852	-0.0273186544036
160	56	1.15173046308	0.00308179382436
180	56	1.03313172653	-0.0151223699133

0.5	64	9.99424420402	-4.44799606132e-05
1	64	9.98272265335	0.000244696574733
2	64	9.9412205285	-0.0055620735933
4	64	9.75138791021	0.00768765765454
8	64	9.12803543617	-0.0504159982652
16	64	7.31694	-0.0179489472228
24	64	5.81161541133	0.00659936790509
32	64	4.76150806351	-0.0318480996674
40	64	3.99169944976	-0.00353285419355
48	64	3.46936487046	-0.0212202855824
56	64	2.97954952113	0.0510667039036
64	64	2.68611253893	-0.00754557999394
72	64	2.38418167509	0.0214576778999
80	64	2.18304447719	-0.00879004844415
96	64	1.83145892805	0.010718832721
112	64	1.57482362722	-0.00714863209253
128	64	1.35184299426	0.0176560607732
144	64	1.21194258575	-0.00270836135293
160	64	1.10371011497	-0.00709685093576
180	64	0.962847395867	0.00586217131138

0.5	80	9.99316442269	0.000168330806887
1	80	9.97910208487	0.000712250628153
2	80	9.9198322434	0.00354918240576
4	80	9.71214124697	-0.00690689005095
8	80	8.94870151634	-0.017828396587
16	80	7.00253230019	-0.0429969837941
24	80	5.44132560843	-0.0389259464587
32	80	4.39180330057	0.0404779039921
40	80	3.71003651574	-0.046064964481
48	80	3.14952915602	0.0353067128129
56	80	2.77352249679	-0.00650295560876
