Frequency	Angle	Speed	Area	Stdev
32	8	1.0	9.5366928926	0.280231119652
40	8	1.0	9.35952269746	0.425887753957
48	8	1.0	9.36678980644	0.393485260954
56	8	1.0	9.25477971422	0.511533867393
64	8	1.0	8.98651839636	0.646959963617
80	8	1.0	8.85136477174	0.757047715168
96	8	1.0	8.79511820102	0.76891118717
112	8	1.0	8.60265981519	0.695835954935
128	8	1.0	8.36850111522	1.00700040586
160	8	1.0	8.16415000835	1.05278406401
192	8	1.0	7.9055298248	1.09381100839
224	8	1.0	7.71239758376	1.08325073086
256	8	1.0	7.52365321616	0.986598816469
320	8	1.0	7.42140263316	1.16915609134
384	8	1.0	6.83377244262	1.32936312095
512	8	1.0	5.88224297969	1.17657237579

0.5	16	1.0	9.97255797978	0.0187469170015
1	16	1.0	9.941517637	0.0374280540069
2	16	1.0	9.87506934624	0.0819192789273
4	16	1.0	9.73698036409	0.197715093654
6	16	1.0	9.60171407868	0.296245863578
8	16	1.0	9.42693755552	0.355931436685
10	16	1.0	9.45913583826	0.342869635979
12	16	1.0	9.22722313483	0.55154633979
16	16	1.0	9.09041362356	0.559537211833
20	16	1.0	8.94496223442	0.648198294232
24	16	1.0	8.5497705755	0.843174863254
32	16	1.0	8.51371061845	0.804182364228
40	16	1.0	8.03534416443	1.02701484274
48	16	1.0	7.68546933418	1.12622689204
56	16	1.0	7.30650228947	1.18843026074
64	16	1.0	7.32308403131	1.17103779632
80	16	1.0	6.87873029735	1.32211603646
96	16	1.0	6.64917987357	1.1395961685
112	16	1.0	6.18816905491	1.10498444441
128	16	1.0	6.27972066982	1.12312980802
160	16	1.0	5.95239289892	1.08559581123
192	16	1.0	5.40576798334	1.12482658368
224	16	1.0	5.06094889501	1.06057994067
256	16	1.0	4.8816759967	1.02982861109
320	16	1.0	4.82014895215	0.993051820526
384	16	1.0	4.36844635666	0.904353453803
512	16	1.0	3.7552041646	0.798899401253

0.5	24	1.0	9.94683224589	0.0408041847332
1	24	1.0	9.85660262425	0.0931462095045
2	24	1.0	9.76720601345	0.136938927823
4	24	1.0	9.48054708188	0.325992513856
6	24	1.0	9.20588316714	0.499836528179
8	24	1.0	8.96049310862	0.713428554983
10	24	1.0	8.67851483273	0.720709215525
12	24	1.0	8.56607159966	0.810585890793
16	24	1.0	8.24627869426	0.989355798985
20	24	1.0	7.74495429192	1.1411447622
24	24	1.0	7.59497108518	1.1517970833
32	24	1.0	7.01328601111	1.24701399532
40	24	1.0	6.5748925327	1.19041250209
48	24	1.0	5.97908054775	1.07257011471
56	24	1.0	5.97831274706	1.17322411465
64	24	1.0	5.78004790327	1.15156243826
80	24	1.0	5.33768274431	1.15533471146
96	24	1.0	5.20708701273	1.16024594821
112	24	1.0	4.70359595248	0.951368537109
128	24	1.0	4.56338960876	0.881411277075
160	24	1.0	4.38443675605	0.835482099013
192	24	1.0	4.12406289619	0.891407059346
224	24	1.0	3.85666978798	0.794084308599
256	24	1.0	3.42893055884	0.750164007353
320	24	1.0	3.49799270827	0.816106626618
384	24	1.0	3.08339678571	0.673830922958
512	24	1.0	2.66807737726	0.558798519607

0.5	32	1.0	9.89908797049	0.0682818545973
1	32	1.0	9.75738573059	0.159976977241
2	32	1.0	9.45205998487	0.343343292674
4	32	1.0	9.09923336987	0.575947747103
6	32	1.0	8.69207088116	0.772083622964
8	32	1.0	8.44486434191	0.813526203494
10	32	1.0	8.13474719007	0.965954877432
12	32	1.0	7.78549767702	1.07569263006
16	32	1.0	7.29793038223	1.11044686802
20	32	1.0	7.10258161144	1.19973492558
24	32	1.0	6.60757536345	1.23892043292
32	32	1.0	5.82957284368	1.19406313948
40	32	1.0	5.71328634235	1.28274080402
48	32	1.0	5.25978723373	1.08565383926
56	32	1.0	4.8318117781	1.13740408704
64	32	1.0	4.78575609725	0.985375019261
80	32	1.0	4.69510043182	1.08019318664
96	32	1.0	4.01140753977	0.974827536496
112	32	1.0	3.71296795372	0.875355145752
128	32	1.0	3.6498219919	0.786208636674
160	32	1.0	3.44950846925	0.747923117604
192	32	1.0	3.2867651168	0.763222611981
224	32	1.0	2.92944892809	0.605032766737
256	32	1.0	2.6809805943	0.600216134858
320	32	1.0	2.61512772591	0.575104043563
384	32	1.0	2.31824772301	0.471141506154
512	32	1.0	1.96440777877	0.436678216419

0.5	40	1.0	9.84934778344	0.118276130891
1	40	1.0	9.60266876024	0.301739652401
2	40	1.0	9.24757612314	0.444335476348
4	40	1.0	8.6548368138	0.741171865452
6	40	1.0	8.19382548075	0.905616619844
8	40	1.0	7.75054991253	1.07541113962
10	40	1.0	7.32882870261	1.06354277438
12	40	1.0	7.09490619889	1.0864861922
16	40	1.0	6.50714637914	1.1993252778
20	40	1.0	5.84454577858	1.19306289129
24	40	1.0	5.70499169818	1.13781934971
32	40	1.0	5.117192701	1.04596044937
40	40	1.0	4.84107968918	0.982360309557
48	40	1.0	4.44764135164	1.1105383681
56	40	1.0	4.33343156251	0.991694715437
64	40	1.0	4.05473813662	0.878281646613
80	40	1.0	3.73263386703	0.849357971864
96	40	1.0	3.45471104128	0.783518390637
112	40	1.0	3.1832749662	0.729361913131
128	40	1.0	3.00262390962	0.692031958046
160	40	1.0	2.79199522283	0.621949962241
192	40	1.0	2.80588562716	0.687635657159
224	40	1.0	2.42047530451	0.530819656712
256	40	1.0	2.34671126448	0.551394345066
320	40	1.0	2.2273299304	0.524097897019
384	40	1.0	1.9944004836	0.39147534646
512	40	1.0	1.6648951949	0.366438075908

0.5	48	1.0	9.70852578615	0.157341756876
1	48	1.0	9.43193962299	0.372646333579
2	48	1.0	8.91123982202	0.737509415677
4	48	1.0	8.14995269813	1.04105383931
6	48	1.0	7.53571351727	1.1192029371
8	48	1.0	6.93827333852	1.17719955352
10	48	1.0	6.561808601	1.24217074244
12	48	1.0	6.23221736822	1.21878444222
16	48	1.0	5.71064401601	1.1524148191
20	48	1.0	5.2395074831	1.08972066641
24	48	1.0	5.00762316953	1.10268761536
32	48	1.0	4.4034614967	0.886341366641
40	48	1.0	4.15934861244	0.8572591548
48	48	1.0	3.97983841364	0.882099069724
56	48	1.0	3.77259513622	0.824164153332
64	48	1.0	3.47674369439	0.826527728488
80	48	1.0	3.18617196416	0.648242815983
96	48	1.0	2.95320540864	0.638198296392
112	48	1.0	2.79937472734	0.651347078326
128	48	1.0	2.6741859346	0.621150249272
160	48	1.0	2.34595507777	0.467668953867
192	48	1.0	2.22941272946	0.411134552173
224	48	1.0	2.02976117105	0.475766601001
256	48	1.0	1.85684450248	0.381220105521
320	48	1.0	1.87469285544	0.390869818477
384	48	1.0	1.65097802377	0.39313426664
512	48	1.0	1.39726712157	0.294214408905

0.5	56	1.0	9.61233664566	0.238298669118
1	56	1.0	9.26207067538	0.464351564539
2	56	1.0	8.61812978391	0.773916603483
4	56	1.0	7.64855020912	1.0305219729
6	56	1.0	6.98924325674	1.29062532166
8	56	1.0	6.77062907774	1.28959409918
10	56	1.0	6.06213178133	1.18999303568
12	56	1.0	5.66783980394	1.21886974257
16	56	1.0	5.24126783073	0.977871180519
20	56	1.0	4.68199740845	1.04695446272
24	56	1.0	4.45260064001	0.916517490241
32	56	1.0	4.07010271892	0.779133527261
40	56	1.0	3.71795340029	0.787958359444
48	56	1.0	3.4419692328	0.665848974859
56	56	1.0	3.08169236005	0.632493645895
64	56	1.0	2.94404190244	0.650752085781
80	56	1.0	2.74548487072	0.616618867562
96	56	1.0	2.55162453996	0.533412541643
112	56	1.0	2.40412378175	0.56577621263
128	56	1.0	2.23226129225	0.424758426926
160	56	1.0	2.13652039022	0.423053112088
192	56	1.0	1.93928958225	0.423065215251
224	56	1.0	1.88466325573	0.446663669522
256	56	1.0	1.64197881937	0.383669308925
320	56	1.0	1.57171400672	0.313461314633
384	56	1.0	1.43616010351	0.32573470284
512	56	1.0	1.16843565508	0.256344737083

0.5	64	1.0	9.60719997371	0.284647625591
1	64	1.0	9.10098875982	0.573867969862
2	64	1.0	8.38292301015	0.919457181346
4	64	1.0	7.45925391846	1.17056929416
6	64	1.0	6.48550050353	1.24047877207
8	64	1.0	6.09551653096	1.09427174708
10	64	1.0	5.57933002844	1.0391583287
12	64	1.0	5.13705924692	1.07925527787
16	64	1.0	4.68724432317	0.82409700093
20	64	1.0	4.45934350714	0.996791085564
24	64	1.0	3.9266016096	0.867921487076
32	64	1.0	3.62725931585	0.761029676992
40	64	1.0	3.26211264484	0.739848035197
48	64	1.0	3.00681671463	0.719517684435
56	64	1.0	2.83116815322	0.548387052722
64	64	1.0	2.61438631724	0.580276378386
80	64	1.0	2.49745933459	0.600833550712
96	64	1.0	2.25575623606	0.447154394208
112	64	1.0	2.0717420351	0.424072600742
128	64	1.0	1.92873132345	0.404991911828
160	64	1.0	1.92244932326	0.399205185209
192	64	1.0	1.72293493947	0.419589288151
224	64	1.0	1.57164333673	0.317759783745
256	64	1.0	1.40979010732	0.330012087459
320	64	1.0	1.44800604157	0.323278426708
384	64	1.0	1.24929120036	0.275385733977
512	64	1.0	1.0260092224	0.215447344168

0.5	72	1.0	9.44503522186	0.365780404301
1	72	1.0	8.90200337176	0.698771553736
2	72	1.0	8.05850041455	0.931903804002
4	72	1.0	6.93519939198	1.24360696165
6	72	1.0	6.14914954401	1.20808366813
8	72	1.0	5.53617963731	1.15879269518
10	72	1.0	5.30128311125	1.1576247557
12	72	1.0	4.63997303129	0.884309098939
16	72	1.0	4.23911787185	0.86433834851
20	72	1.0	3.93372575248	0.915211748264
24	72	1.0	3.70876654506	0.854736030487
32	72	1.0	3.26852466151	0.714890269555
40	72	1.0	2.98279763945	0.662634505552
48	72	1.0	2.8192251423	0.65293591215
56	72	1.0	2.58416730509	0.573318954663
64	72	1.0	2.38550240677	0.536946038452
80	72	1.0	2.25023130504	0.444103322548
96	72	1.0	1.98000904791	0.47144764321
112	72	1.0	1.82453976813	0.398640858103
128	72	1.0	1.77709202825	0.368478154595
160	72	1.0	1.64433261046	0.330522555507
192	72	1.0	1.5226449591	0.343369565426
224	72	1.0	1.42649549049	0.283989712204
256	72	1.0	1.24876610106	0.280142538633
320	72	1.0	1.28117449812	0.272731737912
384	72	1.0	1.13480791511	0.235506467705
512	72	1.0	0.892632561624	0.202483750416

0.5	80	1.0	9.3571349144	0.479648189171
1	80	1.0	8.76870146232	0.721582009567
2	80	1.0	7.71000972662	0.999717807394
4	80	1.0	6.16629469071	1.26530366525
6	80	1.0	5.65250876879	1.11894238157
8	80	1.0	5.09089893353	1.05192911986
10	80	1.0	4.84701781016	1.12961011051
12	80	1.0	4.3597830394	0.985875937182
16	80	1.0	3.84045617982	0.787634145348
20	80	1.0	3.56030198331	0.717671010878
24	80	1.0	3.26951780387	0.744950197092
32	80	1.0	2.9229530086	0.644628268986
40	80	1.0	2.75537616423	0.632017353604
48	80	1.0	2.42653212743	0.538315823997
56	80	1.0	2.3185593098	0.474014723077
64	80	1.0	2.23394348526	0.531265426785
80	80	1.0	1.90360954694	0.392658972646
96	80	1.0	1.81151001712	0.394281304499
112	80	1.0	1.73095169628	0.374005901093
128	80	1.0	1.53597986922	0.304988329903
160	80	1.0	1.4686481413	0.33744947033
192	80	1.0	1.3865650286	0.340822844019
224	80	1.0	1.29525541849	0.267113258359
256	80	1.0	1.18714995673	0.234821521623
320	80	1.0	1.14177490517	0.254091964799
384	80	1.0	1.01181280776	0.210904659734
512	80	1.0	0.837526643788	0.158792436345

0.5	96	1.0	9.09767813193	0.654580678905
1	96	1.0	8.23163947064	1.01869617213
2	96	1.0	7.19343922836	1.22680844298
4	96	1.0	5.78625459496	1.09535242838
6	96	1.0	4.96600435134	1.1027106458
8	96	1.0	4.53227055156	0.923383669146
10	96	1.0	4.06382581315	0.895419550106
12	96	1.0	3.64730446527	0.718761451751
16	96	1.0	3.25061850695	0.697217982284
20	96	1.0	3.08228047093	0.609768077393
24	96	1.0	2.84810139222	0.605705656077
32	96	1.0	2.43940511737	0.568360648481
40	96	1.0	2.31779524608	0.469453028347
48	96	1.0	2.11608719622	0.451044050985
56	96	1.0	1.91643112148	0.39756749374
64	96	1.0	1.87214520046	0.395130512227
80	96	1.0	1.67571806974	0.374493697248
96	96	1.0	1.58641612992	0.332306001679
112	96	1.0	1.37252743995	0.311375004605
128	96	1.0	1.30225611549	0.272146469457
160	96	1.0	1.25975753426	0.272077207494
192	96	1.0	1.17284518433	0.240743635936
224	96	1.0	1.05512159466	0.222525966522
256	96	1.0	0.92978548689	0.196943816704
320	96	1.0	0.978195558142	0.209514836328
384	96	1.0	0.856310066651	0.188028679641
512	96	1.0	0.66368074227	0.156722771404

0.5	112	1.0	8.71707066782	0.815596164171
1	112	1.0	7.83586281321	1.13981316954
2	112	1.0	6.38108645604	1.228835894
4	112	1.0	5.10611471369	0.972730447743
6	112	1.0	4.23121986241	0.920677813821
8	112	1.0	3.70548628807	0.855873870534
10	112	1.0	3.61839546413	0.825345414286
12	112	1.0	3.21093364139	0.710222743424
16	112	1.0	2.84563990808	0.609867117924
20	112	1.0	2.71795883078	0.66598502625
24	112	1.0	2.48556114805	0.50783271144
32	112	1.0	2.17217824347	0.494289442127
40	112	1.0	1.99252498025	0.448776614443
48	112	1.0	1.80234189753	0.387060907792
56	112	1.0	1.70104884121	0.315345790604
64	112	1.0	1.55578785267	0.283174532275
80	112	1.0	1.44272013542	0.302225018776
96	112	1.0	1.29127188367	0.253622944506
112	112	1.0	1.22871154253	0.269332522223
128	112	1.0	1.12102912856	0.242285646825
160	112	1.0	1.07199717918	0.226189150231
192	112	1.0	0.995799436061	0.197670223646
224	112	1.0	0.905787059459	0.197079430268
256	112	1.0	0.803987432231	0.165751673053
