Condition	Distance	V_{max}	V_{moy}	Acc_{max}	Acc_{moy}	À-coup_{max}	À-coup_{moy}
Standard	13660.7775757869	6008.02046404697	1176.6896607985	282990.170396244	28797.118186953	35093281.0085013	2845824.49140826
BaggingHook	4007.08318683133	3937.98575479026	572.690133130676	169152.978708987	13999.4498942345	19599246.9104102	1447152.65574054
