A_exp	F_exp	Mean_std
0.2481	0.5443	2.12115336112
0.2481	0.5937	2.18417834238
0.2481	0.643	2.25573640862
0.2481	0.6924	2.29190476675
0.2481	0.7418	2.32000732245
0.2481	0.7911	2.38176030581
0.2481	0.8405	2.4041261818
0.2481	0.8899	2.44284123555
0.2481	0.9392	2.45961840295
0.2481	0.9886	2.48135683942
0.2481	1.038	2.51547778381
0.2481	1.087	2.52669302122
0.2481	1.137	2.54173182429
0.2481	1.186	2.55293413654
0.2481	1.235	2.57025494313
0.2481	1.285	2.58989026596
0.2481	1.334	2.59981925212
0.2481	1.384	2.60674719652
0.2481	1.433	2.61189157239
0.2481	1.482	2.62369689594
0.2481	1.532	2.62622713048
0.2481	1.581	2.62726654375
0.2481	1.63	2.64623116633
0.2481	1.68	2.6496802221
0.2481	1.729	2.65864263668
0.2481	1.778	2.65982836019
0.2481	1.828	2.65951235667
0.2481	1.877	2.66579219919
0.2481	1.927	2.66500882855
0.2481	1.976	2.67788124215
0.2481	2.025	2.68023339064
0.2481	2.075	2.69044589756
0.2481	2.124	2.69733937492
0.2481	2.173	2.70248951348
0.2481	2.223	2.70678763547
0.2481	2.272	2.70837254376
0.2481	2.322	2.71190297963
0.2481	2.371	2.70952414969
0.2481	2.42	2.7146870627
0.2481	2.47	2.71467235472
0.2481	2.519	2.71962947272
0.2481	2.568	2.72276893237
0.2481	2.618	2.72351170673
0.2481	2.667	2.72402740041
0.2481	2.716	2.72541802748
0.2481	2.766	2.72770409169
0.2481	2.815	2.72840556652
0.2481	2.865	2.73051108385
0.2481	2.914	2.73361824716
0.2481	2.963	2.73361824716
0.2481	3.013	2.73650073858
0.2481	3.062	2.7381400406
0.2481	3.111	2.73931650093
0.2481	3.161	2.73607838271
0.2481	3.21	2.74193490827
0.2481	3.259	2.738856803
0.2481	3.309	2.738856803
0.2481	3.358	2.74010700968
0.2481	3.408	2.74267335787
0.2481	3.457	2.74267335787
0.2481	3.506	2.74116273798
0.2481	3.556	2.73881457588
0.2481	3.605	2.74081066867
0.2481	3.654	2.74081066867
0.2481	3.704	2.74081066867
0.2481	3.753	2.74081066867
0.2481	3.803	2.74651192797
0.2481	3.852	2.74651192797
0.2481	3.901	2.74651192797
0.2481	3.951	2.75609499148
0.2481	4	2.75609499148

0.2975	0.1	0.461994974225
0.2975	0.1494	0.16534762726
0.2975	0.1987	0.479359409108
0.2975	0.2481	0.807462148609
0.2975	0.2975	1.0897567285
0.2975	0.3468	1.31996841257
0.2975	0.3962	1.53936104956
0.2975	0.4456	1.69305878418
0.2975	0.4949	1.82387638224
0.2975	0.5443	1.920842871
0.2975	0.5937	2.01386118892
0.2975	0.643	2.10886790443
0.2975	0.6924	2.17511430556
0.2975	0.7418	2.23015811511
0.2975	0.7911	2.27247896721
0.2975	0.8405	2.3012565112
0.2975	0.8899	2.32000732245
0.2975	0.9392	2.36938620603
0.2975	0.9886	2.3884801321
0.2975	1.038	2.41359727752
0.2975	1.087	2.44378785458
0.2975	1.137	2.47447034247
0.2975	1.186	2.48135683942
0.2975	1.235	2.50638602538
0.2975	1.285	2.52127303312
0.2975	1.334	2.53501818529
0.2975	1.384	2.54846647202
0.2975	1.433	2.55660852037
0.2975	1.482	2.57025494313
0.2975	1.532	2.5786449108
0.2975	1.581	2.59362505227
0.2975	1.63	2.60386198875
0.2975	1.68	2.61072853437
0.2975	1.729	2.61538120163
0.2975	1.778	2.62369689594
0.2975	1.828	2.62160067335
0.2975	1.877	2.62626767427
0.2975	1.927	2.63056968483
0.2975	1.976	2.64902634934
0.2975	2.025	2.65364674706
0.2975	2.075	2.65864263668
0.2975	2.124	2.65982836019
0.2975	2.173	2.65951235667
0.2975	2.223	2.66375190998
0.2975	2.272	2.66500882855
0.2975	2.322	2.66500882855
0.2975	2.371	2.67788124215
0.2975	2.42	2.67915460833
0.2975	2.47	2.69044589756
0.2975	2.519	2.69251342922
0.2975	2.568	2.69733937492
0.2975	2.618	2.70248951348
0.2975	2.667	2.70678763547
0.2975	2.716	2.70837254376
0.2975	2.766	2.71190903073
0.2975	2.815	2.70909968227
0.2975	2.865	2.70952414969
0.2975	2.914	2.7146870627
0.2975	2.963	2.71467235472
0.2975	3.013	2.71962947272
0.2975	3.062	2.72253250798
0.2975	3.111	2.72351170673
0.2975	3.161	2.72698105668
0.2975	3.21	2.72402740041
0.2975	3.259	2.72541802748
0.2975	3.309	2.72770409169
0.2975	3.358	2.72840556652
0.2975	3.408	2.73051108385
0.2975	3.457	2.73258007673
0.2975	3.506	2.73361824716
0.2975	3.556	2.73361824716
0.2975	3.605	2.73650073858
0.2975	3.654	2.7381400406
0.2975	3.704	2.7381400406
0.2975	3.753	2.73607838271
0.2975	3.803	2.73607838271
0.2975	3.852	2.74193490827
0.2975	3.901	2.738856803
0.2975	3.951	2.738856803
0.2975	4	2.73931507832

0.3468	0.1	0.633022692199
0.3468	0.1494	0.222656408772
0.3468	0.1987	0.269478436126
0.3468	0.2481	0.56972492223
0.3468	0.2975	0.833482835373
0.3468	0.3468	1.08916776007
0.3468	0.3962	1.29359345015
0.3468	0.4456	1.48078710669
0.3468	0.4949	1.63403710956
0.3468	0.5443	1.75478079022
0.3468	0.5937	1.85996506236
0.3468	0.643	1.96014259325
0.3468	0.6924	2.01386118892
0.3468	0.7418	2.08956222232
0.3468	0.7911	2.15782845805
0.3468	0.8405	2.20517708571
0.3468	0.8899	2.24771941124
0.3468	0.9392	2.28114241253
0.3468	0.9886	2.3012565112
0.3468	1.038	2.32000732245
0.3468	1.087	2.36947098713
0.3468	1.137	2.38691434989
0.3468	1.186	2.40557759558
0.3468	1.235	2.43141629702
0.3468	1.285	2.45410092508
0.3468	1.334	2.47352633046
0.3468	1.384	2.48135683942
0.3468	1.433	2.50239259102
0.3468	1.482	2.51855724701
0.3468	1.532	2.52592400356
0.3468	1.581	2.54173182429
0.3468	1.63	2.55386057412
0.3468	1.68	2.55784344122
0.3468	1.729	2.57025494313
0.3468	1.778	2.5723495996
0.3468	1.828	2.59093416348
0.3468	1.877	2.60026169481
0.3468	1.927	2.60674719652
0.3468	1.976	2.61189157239
0.3468	2.025	2.62050894966
0.3468	2.075	2.62369689594
0.3468	2.124	2.62160067335
0.3468	2.173	2.62626767427
0.3468	2.223	2.62726654375
0.3468	2.272	2.64623116633
0.3468	2.322	2.64902634934
0.3468	2.371	2.65364674706
0.3468	2.42	2.65864263668
0.3468	2.47	2.65982836019
0.3468	2.519	2.65951235667
0.3468	2.568	2.66375190998
0.3468	2.618	2.66579219919
0.3468	2.667	2.66500882855
0.3468	2.716	2.67065194142
0.3468	2.766	2.67788124215
0.3468	2.815	2.67915460833
0.3468	2.865	2.69044589756
0.3468	2.914	2.69251342922
0.3468	2.963	2.69251342922
0.3468	3.013	2.6998948581
0.3468	3.062	2.70318240074
0.3468	3.111	2.70678763547
0.3468	3.161	2.70837254376
0.3468	3.21	2.71190903073
0.3468	3.259	2.70909968227
0.3468	3.309	2.70952414969
0.3468	3.358	2.71086068773
0.3468	3.408	2.7146870627
0.3468	3.457	2.71467235472
0.3468	3.506	2.71962947272
0.3468	3.556	2.71962947272
0.3468	3.605	2.72276893237
0.3468	3.654	2.72351170673
0.3468	3.704	2.72698105668
0.3468	3.753	2.72634413521
0.3468	3.803	2.72770409169
0.3468	3.852	2.72770409169
0.3468	3.901	2.72830988056
0.3468	3.951	2.72840556652
0.3468	4	2.73051108385

0.3962	0.1	0.74486941315
0.3962	0.1494	0.34865051194
0.3962	0.1987	0.162986907836
0.3962	0.2481	0.382835387132
0.3962	0.2975	0.65073398291
0.3962	0.3468	0.874786276517
0.3962	0.3962	1.06759153973
0.3962	0.4456	1.26432007818
0.3962	0.4949	1.42556504775
0.3962	0.5443	1.57260081561
0.3962	0.5937	1.69426806533
0.3962	0.643	1.79453386927
0.3962	0.6924	1.87280333054
0.3962	0.7418	1.96389375644
0.3962	0.7911	2.01386118892
0.3962	0.8405	2.07201733333
0.3962	0.8899	2.13180308295
0.3962	0.9392	2.17981144939
0.3962	0.9886	2.23015811511
0.3962	1.038	2.26530577383
0.3962	1.087	2.2856205886
0.3962	1.137	2.3038739285
0.3962	1.186	2.32000732245
0.3962	1.235	2.36947098713
0.3962	1.285	2.38656183473
0.3962	1.334	2.40376599729
0.3962	1.384	2.41522764077
0.3962	1.433	2.44284123555
0.3962	1.482	2.45851733073
0.3962	1.532	2.47352633046
0.3962	1.581	2.48135683942
0.3962	1.63	2.49849047274
0.3962	1.68	2.52257337072
0.3962	1.729	2.52669302122
0.3962	1.778	2.53501818529
0.3962	1.828	2.54846647202
0.3962	1.877	2.55293413654
0.3962	1.927	2.55784344122
0.3962	1.976	2.57025494313
0.3962	2.025	2.5723495996
0.3962	2.075	2.5905763583
0.3962	2.124	2.59981925212
0.3962	2.173	2.60386198875
0.3962	2.223	2.60732721623
0.3962	2.272	2.61189157239
0.3962	2.322	2.62050894966
0.3962	2.371	2.62369689594
0.3962	2.42	2.62160067335
0.3962	2.47	2.62626767427
0.3962	2.519	2.62726654375
0.3962	2.568	2.63056968483
0.3962	2.618	2.65035566522
0.3962	2.667	2.64902634934
0.3962	2.716	2.6548509555
0.3962	2.766	2.65864263668
0.3962	2.815	2.65982836019
0.3962	2.865	2.65959378729
0.3962	2.914	2.65951235667
0.3962	2.963	2.66375190998
0.3962	3.013	2.66500882855
0.3962	3.062	2.66500882855
0.3962	3.111	2.67587495623
0.3962	3.161	2.67788124215
0.3962	3.21	2.67915460833
0.3962	3.259	2.68209795082
0.3962	3.309	2.69044589756
0.3962	3.358	2.69251342922
0.3962	3.408	2.69733937492
0.3962	3.457	2.70248951348
0.3962	3.506	2.70436751698
0.3962	3.556	2.70678763547
0.3962	3.605	2.70837254376
0.3962	3.654	2.7087732011
0.3962	3.704	2.71190297963
0.3962	3.753	2.70909968227
0.3962	3.803	2.70952414969
0.3962	3.852	2.71086068773
0.3962	3.901	2.7146870627
0.3962	3.951	2.71467235472
0.3962	4	2.71962947272

0.4456	0.1	0.881869117101
0.4456	0.1494	0.461994974225
0.4456	0.1987	0.182427453729
0.4456	0.2481	0.232770498923
0.4456	0.2975	0.479359409108
0.4456	0.3468	0.696493830369
0.4456	0.3962	0.904627291995
0.4456	0.4456	1.07133486066
0.4456	0.4949	1.25627900956
0.4456	0.5443	1.40394592277
0.4456	0.5937	1.53936104956
0.4456	0.643	1.64979174075
0.4456	0.6924	1.72821676631
0.4456	0.7418	1.82798398855
0.4456	0.7911	1.89268315279
0.4456	0.8405	1.96781273325
0.4456	0.8899	2.01386118892
0.4456	0.9392	2.07095959164
0.4456	0.9886	2.12454677352
0.4456	1.038	2.17511430556
0.4456	1.087	2.21163160733
0.4456	1.137	2.2445132657
0.4456	1.186	2.27545793952
0.4456	1.235	2.29041438029
0.4456	1.285	2.3109295789
0.4456	1.334	2.32000732245
0.4456	1.384	2.36824889489
0.4456	1.433	2.38291800944
0.4456	1.482	2.3884801321
0.4456	1.532	2.40689831161
0.4456	1.581	2.43039535135
0.4456	1.63	2.44378785458
0.4456	1.68	2.45961840295
0.4456	1.729	2.47352633046
0.4456	1.778	2.48135683942
0.4456	1.828	2.50022028816
0.4456	1.877	2.52123590072
0.4456	1.927	2.52411689354
0.4456	1.976	2.53428621715
0.4456	2.025	2.54173182429
0.4456	2.075	2.54981718971
0.4456	2.124	2.55293413654
0.4456	2.173	2.55797369804
0.4456	2.223	2.57025494313
0.4456	2.272	2.56774208313
0.4456	2.322	2.5905763583
0.4456	2.371	2.59362505227
0.4456	2.42	2.60386198875
0.4456	2.47	2.60674719652
0.4456	2.519	2.61072853437
0.4456	2.568	2.61189157239
0.4456	2.618	2.62050894966
0.4456	2.667	2.62369689594
0.4456	2.716	2.62160067335
0.4456	2.766	2.62596690483
0.4456	2.815	2.62626767427
0.4456	2.865	2.62794944623
0.4456	2.914	2.64623116633
0.4456	2.963	2.64902634934
0.4456	3.013	2.64902634934
0.4456	3.062	2.6548509555
0.4456	3.111	2.65864263668
0.4456	3.161	2.65982836019
0.4456	3.21	2.65660095328
0.4456	3.259	2.65951235667
0.4456	3.309	2.66375190998
0.4456	3.358	2.66579219919
0.4456	3.408	2.66500882855
0.4456	3.457	2.66500882855
0.4456	3.506	2.67587495623
0.4456	3.556	2.67788124215
0.4456	3.605	2.67915460833
0.4456	3.654	2.68209795082
0.4456	3.704	2.69044589756
0.4456	3.753	2.69251342922
0.4456	3.803	2.69251342922
0.4456	3.852	2.6998948581
0.4456	3.901	2.70248951348
0.4456	3.951	2.70436751698
0.4456	4	2.70678763547

0.4949	0.1	0.964092851778
0.4949	0.1494	0.574847467447
0.4949	0.1987	0.282822690586
0.4949	0.2481	0.162986907836
0.4949	0.2975	0.34209858891
0.4949	0.3468	0.539515555025
0.4949	0.3962	0.739412191442
0.4949	0.4456	0.91634933864
0.4949	0.4949	1.06901311192
0.4949	0.5443	1.22927237061
0.4949	0.5937	1.36221592823
0.4949	0.643	1.50287930873
0.4949	0.6924	1.61510984595
0.4949	0.7418	1.69426806533
0.4949	0.7911	1.78175247859
0.4949	0.8405	1.84636540552
0.4949	0.8899	1.90567382503
0.4949	0.9392	1.97569724519
0.4949	0.9886	2.01386118892
0.4949	1.038	2.06552890322
0.4949	1.087	2.12253263398
0.4949	1.137	2.16349274327
0.4949	1.186	2.18417834238
0.4949	1.235	2.23015811511
0.4949	1.285	2.25573640862
0.4949	1.334	2.27937714425
0.4949	1.384	2.29393398314
0.4949	1.433	2.3109295789
0.4949	1.482	2.32000732245
0.4949	1.532	2.36824889489
0.4949	1.581	2.38129435195
0.4949	1.63	2.39180187286
0.4949	1.68	2.4041261818
0.4949	1.729	2.41522764077
0.4949	1.778	2.44284123555
0.4949	1.828	2.45410092508
0.4949	1.877	2.46107124489
0.4949	1.927	2.47352633046
0.4949	1.976	2.48135683942
0.4949	2.025	2.50022028816
0.4949	2.075	2.51831680988
0.4949	2.124	2.51804335498
0.4949	2.173	2.52669302122
0.4949	2.223	2.53501818529
0.4949	2.272	2.5454742697
0.4949	2.322	2.55386057412
0.4949	2.371	2.55293413654
0.4949	2.42	2.55797369804
0.4949	2.47	2.57025494313
0.4949	2.519	2.56774208313
0.4949	2.568	2.58989026596
0.4949	2.618	2.59164862355
0.4949	2.667	2.60026169481
0.4949	2.716	2.60386198875
0.4949	2.766	2.60757603551
0.4949	2.815	2.61189157239
0.4949	2.865	2.61189157239
0.4949	2.914	2.6233823295
0.4949	2.963	2.62369689594
0.4949	3.013	2.62160067335
0.4949	3.062	2.62622713048
0.4949	3.111	2.62626767427
0.4949	3.161	2.62726654375
0.4949	3.21	2.63056968483
0.4949	3.259	2.64981130048
0.4949	3.309	2.64902634934
0.4949	3.358	2.65039868493
0.4949	3.408	2.6548509555
0.4949	3.457	2.65864263668
0.4949	3.506	2.65982836019
0.4949	3.556	2.65660095328
0.4949	3.605	2.65951235667
0.4949	3.654	2.66375190998
0.4949	3.704	2.66375190998
0.4949	3.753	2.66500882855
0.4949	3.803	2.66500882855
0.4949	3.852	2.66500882855
0.4949	3.901	2.67587495623
0.4949	3.951	2.67788124215
0.4949	4	2.67915460833

0.5443	0.1	1.03668211449
0.5443	0.1494	0.682710576286
0.5443	0.1987	0.383242585559
0.5443	0.2481	0.169592707758
0.5443	0.2975	0.211647393661
0.5443	0.3468	0.400526853999
0.5443	0.3962	0.593636137079
0.5443	0.4456	0.773844008782
0.5443	0.4949	0.932291552819
0.5443	0.5443	1.07267354087
0.5443	0.5937	1.21453142803
0.5443	0.643	1.3258253758
0.5443	0.6924	1.46921948474
0.5443	0.7418	1.56976468026
0.5443	0.7911	1.65720046963
0.5443	0.8405	1.72779006469
0.5443	0.8899	1.7998795321
0.5443	0.9392	1.86539145445
0.5443	0.9886	1.91455434886
0.5443	1.038	1.99469145919
0.5443	1.087	2.01386118892
0.5443	1.137	2.06513007011
0.5443	1.186	2.11450942384
0.5443	1.235	2.14983991879
0.5443	1.285	2.17608906662
0.5443	1.334	2.21576449514
0.5443	1.384	2.2410582951
0.5443	1.433	2.26551592488
0.5443	1.482	2.28150831557
0.5443	1.532	2.3012565112
0.5443	1.581	2.3109295789
0.5443	1.63	2.32000732245
0.5443	1.68	2.36639919804
0.5443	1.729	2.38176337343
0.5443	1.778	2.38684944175
0.5443	1.828	2.40376599729
0.5443	1.877	2.40689831161
0.5443	1.927	2.43039535135
0.5443	1.976	2.44284123555
0.5443	2.025	2.45842748198
0.5443	2.075	2.47119913926
0.5443	2.124	2.47929521824
0.5443	2.173	2.48135683942
0.5443	2.223	2.50022028816
0.5443	2.272	2.51547778381
0.5443	2.322	2.51855724701
0.5443	2.371	2.525486914
0.5443	2.42	2.53428621715
0.5443	2.47	2.54173182429
0.5443	2.519	2.54846647202
0.5443	2.568	2.55293413654
0.5443	2.618	2.55660852037
0.5443	2.667	2.5542343321
0.5443	2.716	2.57025494313
0.5443	2.766	2.56774208313
0.5443	2.815	2.58989026596
0.5443	2.865	2.59093416348
0.5443	2.914	2.59981925212
0.5443	2.963	2.60386198875
0.5443	3.013	2.60386198875
0.5443	3.062	2.61072853437
0.5443	3.111	2.61189157239
0.5443	3.161	2.61189157239
0.5443	3.21	2.6233823295
0.5443	3.259	2.62369689594
0.5443	3.309	2.62160067335
0.5443	3.358	2.62350949971
0.5443	3.408	2.62626767427
0.5443	3.457	2.62726654375
0.5443	3.506	2.62794944623
0.5443	3.556	2.64623116633
0.5443	3.605	2.65035566522
0.5443	3.654	2.64902634934
0.5443	3.704	2.65039868493
0.5443	3.753	2.6548509555
0.5443	3.803	2.65864263668
0.5443	3.852	2.65982836019
0.5443	3.901	2.65982836019
0.5443	3.951	2.65951235667
0.5443	4	2.65951235667

0.5937	0.1	1.10323887717
0.5937	0.1494	0.745548745155
0.5937	0.1987	0.464328682713
0.5937	0.2481	0.240077407549
0.5937	0.2975	0.162986907836
0.5937	0.3468	0.297116666794
0.5937	0.3962	0.479359409108
0.5937	0.4456	0.65073398291
0.5937	0.4949	0.807462148609
0.5937	0.5443	0.941659540401
0.5937	0.5937	1.08305651159
0.5937	0.643	1.19914763336
0.5937	0.6924	1.31996371956
0.5937	0.7418	1.42556504775
0.5937	0.7911	1.53936104956
0.5937	0.8405	1.6277191471
0.5937	0.8899	1.69426806533
0.5937	0.9392	1.7618763912
0.5937	0.9886	1.82798398855
0.5937	1.038	1.8774842876
0.5937	1.087	1.93651003001
0.5937	1.137	1.99469145919
0.5937	1.186	2.01386118892
0.5937	1.235	2.06193659739
0.5937	1.285	2.1121175928
0.5937	1.334	2.13300713909
0.5937	1.384	2.17511430556
0.5937	1.433	2.20425088959
0.5937	1.482	2.23015811511
0.5937	1.532	2.25010368267
0.5937	1.581	2.27545793952
0.5937	1.63	2.29008839882
0.5937	1.68	2.3012565112
0.5937	1.729	2.31227740952
0.5937	1.778	2.32000732245
0.5937	1.828	2.36413050581
0.5937	1.877	2.37242335362
0.5937	1.927	2.38656183473
0.5937	1.976	2.39836873748
0.5937	2.025	2.40469734337
0.5937	2.075	2.41522764077
0.5937	2.124	2.43141629702
0.5937	2.173	2.45283932527
0.5937	2.223	2.45851733073
0.5937	2.272	2.47447034247
0.5937	2.322	2.48145680221
0.5937	2.371	2.48135683942
0.5937	2.42	2.50022028816
0.5937	2.47	2.50936359959
0.5937	2.519	2.5193904429
0.5937	2.568	2.52444034247
0.5937	2.618	2.52592400356
0.5937	2.667	2.53862794157
0.5937	2.716	2.54173182429
0.5937	2.766	2.54981718971
0.5937	2.815	2.55293413654
0.5937	2.865	2.55784344122
0.5937	2.914	2.5542343321
0.5937	2.963	2.57025494313
0.5937	3.013	2.56774208313
0.5937	3.062	2.58243598529
0.5937	3.111	2.5905763583
0.5937	3.161	2.59981925212
0.5937	3.21	2.60026169481
0.5937	3.259	2.60386198875
0.5937	3.309	2.60674719652
