Frequency	Angle	Speed	RealArea	Stdev
4	56	1.0	2.44563014631	0.54210946535
6	56	1.0	2.21084476545	0.533794512527
8	56	1.0	1.92709380702	0.556609051899
10	56	1.0	1.80790683774	0.515555439972
12	56	1.0	1.63502351534	0.499375715782
16	56	1.0	1.37878948356	0.443709489726
20	56	1.0	1.23463071264	0.378480142654
24	56	1.0	1.08233014779	0.364329789786
32	56	1.0	0.877355764036	0.288376179187
40	56	1.0	0.738525261897	0.282329607529
48	56	1.0	0.647476661427	0.228404625386
56	56	1.0	0.587082838785	0.215551619864
64	56	1.0	0.528675413203	0.211510882455
80	56	1.0	0.436747377671	0.158230736119
96	56	1.0	0.378391265852	0.154627653557
112	56	1.0	0.322771797947	0.115101689132
128	56	1.0	0.289007112307	0.105314182593
160	56	1.0	0.252933576977	0.0890314347346
192	56	1.0	0.224262995086	0.0903155012909
224	56	1.0	0.199232841002	0.0783228650815
256	56	1.0	0.153093290136	0.0569877438383
320	56	1.0	0.163315277499	0.0589653037849
384	56	1.0	0.122525048779	0.0494955389263
512	56	1.0	0.081586291367	0.0310045371987
1024	56	1.0	0.0444559010719	0.0163335967795
2048	56	1.0	0.0226167320159	0.00895377131859
4096	56	1.0	0.011657906728	0.00467060141244

0.5	64	1.0	1.91672143228	0.736478218318
1	64	1.0	2.39786113358	0.743782688474
2	64	1.0	2.60526885034	0.554200862606
4	64	1.0	2.310076835	0.524754178203
6	64	1.0	2.05739246613	0.478886759671
8	64	1.0	1.77967981525	0.508862819588
10	64	1.0	1.57476736548	0.478568776226
12	64	1.0	1.36836522502	0.397877798031
16	64	1.0	1.16845959617	0.389689279324
20	64	1.0	1.0070333763	0.336655987816
24	64	1.0	0.890696030029	0.320576552601
32	64	1.0	0.752957206767	0.245284191036
40	64	1.0	0.634850640826	0.237329025284
48	64	1.0	0.516985626851	0.196390395504
56	64	1.0	0.453734552875	0.159625221445
64	64	1.0	0.417517330362	0.147878906981
80	64	1.0	0.367114015253	0.129751941906
96	64	1.0	0.315369871479	0.118318353711
112	64	1.0	0.258411186664	0.0929382420918
128	64	1.0	0.228658930245	0.0829349747937
160	64	1.0	0.209739525412	0.0736793319545
192	64	1.0	0.177897400732	0.0623155625068
224	64	1.0	0.151266013395	0.0594054260004
256	64	1.0	0.132791797309	0.0511821147662
320	64	1.0	0.117098622326	0.0410900486425
384	64	1.0	0.0928564014821	0.0314121569725
512	64	1.0	0.0660964825321	0.026202138975
1024	64	1.0	0.0338278875456	0.0113194534503
2048	64	1.0	0.0171813346601	0.00558322019147
4096	64	1.0	0.00850204107423	0.0032845085813

0.5	72	1.0	2.19524848365	0.7995824089
1	72	1.0	2.4529076534	0.737083119915
2	72	1.0	2.52809702317	0.53873158693
4	72	1.0	2.15170241584	0.491084274979
6	72	1.0	1.83183991137	0.488737448305
8	72	1.0	1.56093275925	0.430576442824
10	72	1.0	1.32510247759	0.424796782537
12	72	1.0	1.20268735752	0.375404712259
16	72	1.0	0.984769876006	0.339329786178
20	72	1.0	0.85871794729	0.304346118222
24	72	1.0	0.750231738026	0.24108747156
32	72	1.0	0.572729480504	0.216361671031
40	72	1.0	0.487880527385	0.181089795264
48	72	1.0	0.414905388152	0.150181829877
56	72	1.0	0.375225210206	0.14095251858
64	72	1.0	0.339985484627	0.116867613724
