"Frequency"	"Angle"	"Speed"	"RealArea"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"Errors"	"CappedErr"	"Frates"
8	180	0.73	0.1933320485	0.072314673	0.2648384227	0.1698197637	0.2326298132	0.25	0.25	0
13	180	0.73	0.1277811149	0.0521615903	0.1750426232	0.165647707	0.2269146672	0.2115384615	0.2115384615	0
20	180	0.73	0.0892344518	0.0355550693	0.122238975	0.1475380691	0.2021069439	0.1153846154	0.1153846154	0
30	180	0.73	0.0605152882	0.0227076931	0.0828976551	0.1457010725	0.1995905102	0.1153846154	0.1153846154	0
										
1	0	1.46	0	0	0	0.1589674502	0.1088818152	0.3269230769	0.3269230769	0
2	0	1.46	0	0	0	0.1664109603	0.1139801098	0.4615384615	0.4615384615	0
4	0	1.46	0	0	0	0.1579157279	0.1081614575	0.3269230769	0.3269230769	0
8	0	1.46	0	0	0	0.161266261	0.1104563431	0.3653846154	0.3653846154	0
13	0	1.46	0	0	0	0.1704129716	0.1167212134	0.2884615385	0.2884615385	0
20	0	1.46	0	0	0	0.1584676971	0.1085395185	0.25	0.25	0
30	0	1.46	0	0	0	0.156329497	0.1070749979	0.2115384615	0.2115384615	0
										
1	30	1.46	3.0314998186	1.3886566781	2.0763697387	0.181766435	0.1244975582	0.5576923077	0.5576923077	0
2	30	1.46	4.0570514252	1.6169434424	2.778802346	0.1760956864	0.1206134838	0.3653846154	0.3653846154	0
4	30	1.46	5.0072727509	1.597488087	3.4296388704	0.2074964635	0.1421208654	0.8461538462	0.8461538462	0
8	30	1.46	5.4182204697	1.4025272877	3.7111099107	0.2212036273	0.1515093338	0.9807692308	0.9807692308	0
13	30	1.46	5.3244332764	1.1146742212	3.6468721071	0.1766290453	0.1209787981	0.7307692308	0.7307692308	0
20	30	1.46	4.8756876355	1.1698098329	3.3395120791	0.2409115505	0.1650079113	1.0192307692	1.0192307692	0
30	30	1.46	4.1738834391	1.1388130616	2.8588242734	0.2569343784	0.175982451	1.3461538462	1.1730769231	5.7692307692
										
1	60	1.46	4.9428540762	1.7519326809	3.3855164906	0.1630266817	0.1116621107	0.3461538462	0.3461538462	0
2	60	1.46	5.3296298452	1.3834295649	3.6504314008	0.1947942881	0.1334207453	0.7884615385	0.7692307692	1.9230769231
4	60	1.46	5.1259188764	1.0819294435	3.51090334	0.2377042154	0.1628111065	1.1730769231	1.1538461539	1.9230769231
8	60	1.46	3.8891536544	1.0765459984	2.6638038729	0.3327196878	0.2278901971	1.7884615385	1.4423076923	9.6153846154
13	60	1.46	2.9426083323	0.8911720584	2.0154851591	0.3414605781	0.2338771083	2.5	1.8076923077	13.4615384615
20	60	1.46	2.4187436269	0.8532525263	1.6566737171	0.4348073392	0.2978132461	2.9807692308	2.2884615385	17.3076923077
30	60	1.46	1.7669030203	0.6589689669	1.2102075481	0.3278551961	0.2245583535	2.6153846154	2.0769230769	13.4615384615
										
