Frequency	Angle	Speed	RealArea	Stdev	RaDivSpeed	Time	TimeDivSpeed	Errors	CappedErr	Frates
4	60	1.46	5.1259188764	1.0819294435	3.51090334	0.2377042154	0.1628111065	1.1730769231	1.1538461539	1.9230769231
8	60	1.46	3.8891536544	1.0765459984	2.6638038729	0.3327196878	0.2278901971	1.7884615385	1.4423076923	9.6153846154
13	60	1.46	2.9426083323	0.8911720584	2.0154851591	0.3414605781	0.2338771083	2.5	1.8076923077	13.4615384615
20	60	1.46	2.4187436269	0.8532525263	1.6566737171	0.4348073392	0.2978132461	2.9807692308	2.2884615385	17.3076923077
30	60	1.46	1.7669030203	0.6589689669	1.2102075481	0.3278551961	0.2245583535	2.6153846154	2.0769230769	13.4615384615
										
4	90	1.46	3.7001660501	1.0688576668	2.5343603083	0.3059389724	0.2095472414	1.8076923077	1.6346153846	5.7692307692
8	90	1.46	2.489028888	0.8472122877	1.7048143068	0.3001245934	0.20556479	2.3461538462	2.1153846154	9.6153846154
13	90	1.46	1.7845423745	0.6625009864	1.2222892976	0.3541234032	0.2425502762	2.4807692308	1.9230769231	11.5384615385
20	90	1.46	1.2956814088	0.4454435943	0.8874530197	0.3279028276	0.2245909778	1.9230769231	1.4807692308	7.6923076923
30	90	1.46	0.8995521622	0.3097216262	0.616131618	0.2744268136	0.1879635709	1.2692307692	1.2115384615	3.8461538462
										
4	120	1.46	2.7720690721	0.9373872319	1.8986774467	0.4778661357	0.3273055724	2.9807692308	2.2692307692	13.4615384615
8	120	1.46	1.6443746676	0.5733015825	1.1262840189	0.3379406349	0.2314661883	2.2115384615	1.7884615385	9.6153846154
13	120	1.46	1.1176349742	0.3837458311	0.765503407	0.3375362663	0.2311892235	2.0769230769	1.7692307692	9.6153846154
20	120	1.46	0.7600555986	0.2627815332	0.5205860265	0.1858160155	0.1272712435	0.7115384615	0.7115384615	0
30	120	1.46	0.5368159248	0.1833585984	0.3676821403	0.1972447558	0.1350991478	0.7692307692	0.7692307692	0
										
4	180	1.46	1.3394082631	0.5436045159	0.91740292	0.281217873	0.1926149815	1.9038461539	1.75	5.7692307692
8	180	1.46	0.8361784777	0.3191419813	0.5727249847	0.2966395161	0.2031777507	1.4038461539	1.1153846154	3.8461538462
13	180	1.46	0.5285359093	0.1887168996	0.3620108968	0.1695206406	0.1161100278	0.5	0.5	0
20	180	1.46	0.3546035608	0.1268798845	0.2428791512	0.1834929172	0.1256800803	0.5192307692	0.5192307692	0
30	180	1.46	0.2506062422	0.0946930396	0.1716481111	0.1719822241	0.1177960439	0.4038461538	0.4038461538	0
										
4	0	2.19	0	0	0	0.2079210853	0.0949411348	0.7115384615	0.7115384615	0
8	0	2.19	0	0	0	0.1781908433	0.0813656819	0.3269230769	0.3269230769	0
13	0	2.19	0	0	0	0.1895737836	0.0865633715	0.6923076923	0.6730769231	1.9230769231
20	0	2.19	0	0	0	0.224570673	0.1025436863	0.9038461538	0.9038461538	0
30	0	2.19	0	0	0	0.1578450953	0.072075386	0.4615384615	0.4615384615	0
										
4	30	2.19	11.0297525142	3.7192266861	5.0364166732	0.2561895512	0.1169815302	1.4615384615	1.3653846154	1.9230769231
