Angle	Frequency	AF	ARF	ax	bx	cx
32.0	0.5	16.0	22.627416998	1.14577135988	0	0
8.0	8.0	64.0	22.627416998	1.085435737	0	0
4.0	32.0	128.0	22.627416998	1.03634076742	0	0
2.0	128.0	256.0	22.627416998	1.13184368914	0	0
0.5	2048.0	1024.0	22.627416998	1.10062101928	0	0
24.0	1.0	24.0	24.0	1.23262788671	0	0
4.0	40.0	160.0	25.2982212813	1.2165943378	0	0
8.0	10.0	80.0	25.2982212813	1.22650469865	0	0
2.0	160.0	320.0	25.2982212813	1.14934532944	0	0
8.0	12.0	96.0	27.7128129211	1.32639689685	0	0
4.0	48.0	192.0	27.7128129211	1.29978726574	0	0
2.0	192.0	384.0	27.7128129211	1.2289163363	0	0
40.0	0.5	20.0	28.2842712475	1.38262358404	0	0
2.0	224.0	448.0	29.9332590942	1.36133894029	0	0
4.0	56.0	224.0	29.9332590942	1.2692997922	0	0
16.0	4.0	64.0	32.0	1.48764104695	0	0
1.0	1024.0	1024.0	32.0	1.57020696565	0	0
2.0	256.0	512.0	32.0	1.47979507189	0	0
8.0	16.0	128.0	32.0	1.55734563732	0	0
4.0	64.0	256.0	32.0	1.53538790342	0	0
0.5	4096.0	2048.0	32.0	1.44930778576	0	0
32.0	1.0	32.0	32.0	1.4775086227	0	0
24.0	2.0	48.0	33.941125497	1.61840940416	0	0
48.0	0.5	24.0	33.941125497	1.45423615289	0	0
8.0	20.0	160.0	35.77708764	1.55106639182	0	0
4.0	80.0	320.0	35.77708764	1.6249961929	0	0
2.0	320.0	640.0	35.77708764	1.4299467376	0	0
2.0	384.0	768.0	39.1918358845	1.60963443537	0	0
4.0	96.0	384.0	39.1918358845	1.51618463704	0	0
16.0	6.0	96.0	39.1918358845	1.68684298792	0	0
8.0	24.0	192.0	39.1918358845	1.77259244594	0	0
56.0	0.5	28.0	39.5979797464	1.72782171404	0	0
40.0	1.0	40.0	40.0	1.74178578464	0	0
4.0	112.0	448.0	42.332020977	1.91682936717	0	0
1.0	2048.0	2048.0	45.2548339959	1.82232624959	0	0
64.0	0.5	32.0	45.2548339959	1.86727368858	0	0
4.0	128.0	512.0	45.2548339959	1.98342617077	0	0
8.0	32.0	256.0	45.2548339959	1.94740098963	0	0
16.0	8.0	128.0	45.2548339959	2.083902517	0	0
32.0	2.0	64.0	45.2548339959	1.91597288572	0	0
2.0	512.0	1024.0	45.2548339959	2.01188793151	0	0
48.0	1.0	48.0	48.0	2.06451718682	0	0
24.0	4.0	96.0	48.0	2.03064475393	0	0
16.0	10.0	160.0	50.5964425627	1.97215521832	0	0
8.0	40.0	320.0	50.5964425627	2.17132284741	0	0
4.0	160.0	640.0	50.5964425627	1.97100484831	0	0
72.0	0.5	36.0	50.9116882454	2.001116039	0	0
8.0	48.0	384.0	55.4256258422	2.06311998477	0	0
4.0	192.0	768.0	55.4256258422	2.1057571855	0	0
16.0	12.0	192.0	55.4256258422	2.04344922402	0	0
56.0	1.0	56.0	56.0	2.2227188704	0	0
80.0	0.5	40.0	56.5685424949	2.27952258073	0	0
40.0	2.0	80.0	56.5685424949	2.18731584871	0	0
24.0	6.0	144.0	58.7877538268	2.22717621359	0	0
4.0	224.0	896.0	59.8665181884	2.25817452379	0	0
8.0	56.0	448.0	59.8665181884	2.20883899081	0	0
16.0	16.0	256.0	64.0	2.26024982527	0	0
2.0	1024.0	2048.0	64.0	2.3468425715	0	0
32.0	4.0	128.0	64.0	2.31459437289	0	0
4.0	256.0	1024.0	64.0	2.24128454199	0	0
1.0	4096.0	4096.0	64.0	2.25420414889	0	0
64.0	1.0	64.0	64.0	2.34075130674	0	0
8.0	64.0	512.0	64.0	2.42130865974	0	0
24.0	8.0	192.0	67.8822509939	2.48435669208	0	0
96.0	0.5	48.0	67.8822509939	2.56047421852	0	0
48.0	2.0	96.0	67.8822509939	2.56573764144	0	0
8.0	80.0	640.0	71.55417528	2.46531232085	0	0
16.0	20.0	320.0	71.55417528	2.4186537871	0	0
4.0	320.0	1280.0	71.55417528	2.28092867016	0	0
72.0	1.0	72.0	72.0	2.56135268305	0	0
24.0	10.0	240.0	75.894663844	2.49370974756	0	0
32.0	6.0	192.0	78.3836717691	2.50217380487	0	0
8.0	96.0	768.0	78.3836717691	2.44116323272	0	0
4.0	384.0	1536.0	78.3836717691	2.2915396746	0	0
16.0	24.0	384.0	78.3836717691	2.51869252636	0	0
56.0	2.0	112.0	79.1959594929	2.61013631512	0	0
112.0	0.5	56.0	79.1959594929	2.56027094599	0	0
80.0	1.0	80.0	80.0	2.55223349989	0	0
40.0	4.0	160.0	80.0	2.49766028032	0	0
24.0	12.0	288.0	83.1384387633	2.4928739693	0	0
8.0	112.0	896.0	84.6640419541	2.38983977551	0	0
2.0	2048.0	4096.0	90.5096679919	2.57925207307	0	0
128.0	0.5	64.0	90.5096679919	2.5799224084	0	0
16.0	32.0	512.0	90.5096679919	2.53728235479	0	0
64.0	2.0	128.0	90.5096679919	2.64780580109	0	0
32.0	8.0	256.0	90.5096679919	2.47212164199	0	0
4.0	512.0	2048.0	90.5096679919	2.5637212991	0	0
8.0	128.0	1024.0	90.5096679919	2.52314122797	0	0
24.0	16.0	384.0	96.0	2.49794498328	0	0
96.0	1.0	96.0	96.0	2.58162516556	0	0
48.0	4.0	192.0	96.0	2.55650876926	0	0
40.0	6.0	240.0	97.9795897113	2.61066055476	0	0
8.0	160.0	1280.0	101.192885125	2.55877626221	0	0
32.0	10.0	320.0	101.192885125	2.49187488791	0	0
16.0	40.0	640.0	101.192885125	2.42396331794	0	0
144.0	0.5	72.0	101.823376491	2.40809582151	0	0
72.0	2.0	144.0	101.823376491	2.58450091271	0	0
24.0	20.0	480.0	107.33126292	2.41919314594	0	0
16.0	48.0	768.0	110.851251684	2.40393338019	0	0
32.0	12.0	384.0	110.851251684	2.51250206736	0	0
8.0	192.0	1536.0	110.851251684	2.5365732736	0	0
112.0	1.0	112.0	112.0	2.58004586312	0	0
56.0	4.0	224.0	112.0	2.4437289243	0	0
160.0	0.5	80.0	113.13708499	2.21347697023	0	0
80.0	2.0	160.0	113.13708499	2.4609344489	0	0
40.0	8.0	320.0	113.13708499	2.39966744046	0	0
48.0	6.0	288.0	117.575507654	2.397923167	0	0
24.0	24.0	576.0	117.575507654	2.3353959892	0	0
16.0	56.0	896.0	119.733036377	2.41285021298	0	0
8.0	224.0	1792.0	119.733036377	2.33755087481	0	0
40.0	10.0	400.0	126.491106407	2.25029196009	0	0
180.0	0.5	90.0	127.279220614	1.98231206469	0	0
32.0	16.0	512.0	128.0	2.23219677131	0	0
16.0	64.0	1024.0	128.0	2.26009918937	0	0
4.0	1024.0	4096.0	128.0	2.30169894559	0	0
64.0	4.0	256.0	128.0	2.35043650571	0	0
128.0	1.0	128.0	128.0	2.41578128146	0	0
8.0	256.0	2048.0	128.0	2.24636808398	0	0
2.0	4096.0	8192.0	128.0	2.4080583357	0	0
48.0	8.0	384.0	135.764501988	2.18708964242	0	0
24.0	32.0	768.0	135.764501988	2.2530917528	0	0
