	"#Angle"	"Frequency"	"Speed"	"Average_Time"	"Errors"	"Capped_Errors"	"Failure_rate"	2
76	120	30	0.54	0.1972447558	0.7692307692	0.7692307692	0	0.9037603136
								
77	180	1	0.54	0.2485489177	0.9807692308	0.9423076923	3.8461538462	2.8372671199
78	180	2	0.54	0.4775565538	2.8076923077	2.3269230769	13.4615384615	2.4640562898
79	180	4	0.54	0.281217873	1.9038461539	1.75	5.7692307692	1.8518924129
80	180	8	0.54	0.2966395161	1.4038461539	1.1153846154	3.8461538462	1.3725789707
81	180	13	0.54	0.1695206406	0.5	0.5	0	1.053842908
82	180	20	0.54	0.1834929172	0.5192307692	0.5192307692	0	0.9716618015
83	180	30	0.54	0.1719822241	0.4038461538	0.4038461538	0	0.8439331958
								
84	0	1	0.81	0.2054229712	0.7115384615	0.7115384615	0	0.2002121514
85	0	2	0.81	0.1728403664	0.6346153846	0.6346153846	0	0.2002121514
86	0	4	0.81	0.2079210853	0.7115384615	0.7115384615	0	0.2002121514
87	0	8	0.81	0.1781908433	0.3269230769	0.3269230769	0	0.2002121514
88	0	13	0.81	0.1895737836	0.6923076923	0.6730769231	1.9230769231	0.2002121514
89	0	20	0.81	0.224570673	0.9038461538	0.9038461538	0	0.2002121514
90	0	30	0.81	0.1578450953	0.4615384615	0.4615384615	0	0.2002121514
								
91	30	1	0.81	0.2239215552	0.9230769231	0.8461538462	1.9230769231	7.4283940573
92	30	2	0.81	0.2614397429	0.7884615385	0.7884615385	0	7.0345013212
93	30	4	0.81	0.2561895512	1.4615384615	1.3653846154	1.9230769231	7.0114514402
94	30	8	0.81	0.3001807686	1.5576923077	1.3846153846	5.7692307692	6.0045377413
95	30	13	0.81	0.3764911408	2.1346153846	1.8461538462	7.6923076923	6.0046287785
96	30	20	0.81	0.2865636711	1.9615384615	1.75	11.5384615385	5.3979882426
97	30	30	0.81	0.4752491923	4.6730769231	2.8076923077	32.6923076923	5.0493071785
								
98	60	1	0.81	0.2161314727	1.0576923077	1.0576923077	0	6.6588605256
99	60	2	0.81	0.2871905416	1.6730769231	1.4807692308	5.7692307692	6.6624355933
100	60	4	0.81	0.3422973582	2.4038461539	2.0576923077	11.5384615385	5.901438424
101	60	8	0.81	0.4026446219	3.5576923077	2.4230769231	30.7692307692	5.5512619008
102	60	13	0.81	0.5760573748	5.0769230769	2.9230769231	36.5384615385	4.0928799223
103	60	20	0.81	0.6832388503	8.0192307692	3.3269230769	42.3076923077	3.5659176774
104	60	30	0.81	0.607811554	7.3653846154	3.5192307692	46.1538461538	2.9618982904
								
105	90	1	0.81	0.2273667708	0.9230769231	0.9230769231	0	6.6149758398
106	90	2	0.81	0.3951649997	2.6923076923	1.6346153846	13.4615384615	5.7713111558
107	90	4	0.81	0.4665759931	3.2115384615	2.4615384615	21.1538461538	4.2293797823
108	90	8	0.81	0.5271255197	7.3269230769	3.3653846154	50	3.7117930777
109	90	13	0.81	0.5622256243	6.5769230769	3.0961538462	36.5384615385	3.1934908826
110	90	20	0.81	0.4570138899	4.3846153846	2.9807692308	32.6923076923	2.2019015186
111	90	30	0.81	0.3904218297	4.4615384615	2.7307692308	32.6923076923	1.9637634404
								
112	120	1	0.81	0.2867660295	1.5	1.3846153846	5.7692307692	6.3340532148
113	120	2	0.81	0.4253263784	3.0961538462	2.4038461539	17.3076923077	5.2669728768
114	120	4	0.81	0.4047777864	5.6538461539	2.9038461539	36.5384615385	3.9175877359
115	120	8	0.81	0.5944864373	7.3461538462	3.5769230769	51.9230769231	2.7211987298
116	120	13	0.81	0.4574828391	6.2692307692	3.2115384615	38.4615384615	2.0221422413
