Angle	Frequency	ax	bx	cx

0.5	0.5	0.0254335435658	-0.0061524741172	-0.00471783130036
1	0.5	0.0224836450491	0.0164636525988	0.00133672916475
2	0.5	0.0924209769898	-0.0723486185221	0.0328782638854
4	0.5	0.21696541764	-0.191853186801	0.0418694214299
8	0.5	0.384792783192	-0.597807324418	0.297696093183
16	0.5	0.562642717195	-0.0656354965737	0.0449742318105
32	0.5	0.0741235497639	3.62580351539	-1.83581129509
64	0.5	1.83513852137	1.15085693148	-0.350679677098
96	0.5	2.83874848797	-0.859512688029	0.360878624579
128	0.5	0.0156565221564	7.31493016054	-3.23961884611
160	0.5	1.00914116301	3.36999977675	-1.58505742158
180	0.5	-0.272340760879	6.89529130034	-2.78631521448

0.5	1	0.0184405277936	0.0131035135706	-0.00144093986606
1	1	0.0283498214406	0.0680242869849	-0.0256595440285
2	1	0.0624854367041	0.115588164003	-0.0614425365382
4	1	0.238746933987	-0.0880707579933	0.077581043465
8	1	0.139459100525	0.813659489762	-0.408123707915
16	1	1.82849829705	-3.34857392797	1.49353340819
32	1	4.45401301415	-9.82182397504	4.26943875818
64	1	3.20403163235	-2.09669669031	1.16537112612
96	1	2.01541752545	2.2203217024	-1.45694285997
128	1	3.41555453189	-3.1841098141	1.25205867298
160	1	1.67493283524	0.950211108233	-0.684451782582
180	1	1.87385401707	1.85357333075	-1.74649666596

0.5	2	0.0595587652775	-0.0654275277836	0.0280896968277
1	2	0.0234482019925	0.142242378874	-0.0727657604155
2	2	0.0213965523322	0.402882084066	-0.18349711202
4	2	0.405456399443	-0.28529322311	0.046720193407
8	2	0.680615256007	-0.421558517368	0.101820457186
16	2	-0.241423147895	5.54316021213	-2.89599989933
32	2	3.7893279185	-6.11614226051	2.83145610992
64	2	1.75215583118	1.4973647284	-0.417963074591
96	2	2.29735027505	0.0136172368513	-0.172476121252
128	2	1.52927148222	1.02494582098	-0.409783995636
160	2	1.12891808706	0.817439184473	-0.42373568021
180	2	0.609913236288	1.29353567482	-0.174629070903

0.5	4	0.0896606957769	-0.147279482476	0.0618229467687
1	4	0.149296112462	-0.0572657555777	0.0162154521497
2	4	0.321082560588	-0.357297500613	0.149087476042
4	4	0.414544133903	-0.1804711191	0.109313719481
8	4	0.388086761356	1.47680494564	-0.788631576796
16	4	-0.302942671185	7.16285617572	-3.66660874322
32	4	3.8916930198	-5.99300332846	2.90742909456
64	4	3.7018638131	-3.71232470417	1.44174395067
96	4	1.95923988691	-1.52681825063	0.728472505134
128	4	1.4371723354	-0.986680967829	0.626685843704
160	4	0.956185663142	-0.748842445456	0.421964155101
180	4	0.194835547523	1.27335824782	-0.570456221106

0.5	8	0.00582643813154	0.184890790757	-0.0761255666807
1	8	0.10192508221	0.00798350817146	0.0614082091725
2	8	-0.0774638592707	1.10613818413	-0.48803715924
4	8	0.777396339269	-0.685862889442	0.3035011901
8	8	2.65811593238	-4.86127504729	2.22476756014
16	8	2.81986015028	-2.15153744682	1.21023722259
32	8	3.64312072493	-3.13698242368	1.50911476927
64	8	1.43742835472	0.318072388273	0.333859999081
96	8	0.812962470004	0.908166234792	-0.509057340163
128	8	0.769362131372	-0.394953262255	0.185117761209
160	8	0.791909311703	-1.26958465679	0.708167137501
180	8	0.563994539143	-0.67557949964	0.303439330716

0.5	16	0.211700163542	-0.372036087475	0.169619332328
1	16	0.0158922909411	0.80575020937	-0.396984502694
2	16	0.434086363473	-0.266430312502	0.186701161663
4	16	0.195138690955	2.06889535349	-0.917226720824
8	16	0.346200305138	2.62061884698	-1.21913123173
16	16	3.24372941185	-3.31425605272	1.73861671355
32	16	1.0232033	3.55915415645	-1.52680720328
64	16	1.43570746348	-1.23853765455	0.557264503165
96	16	0.468907771427	0.570896560557	-0.245383188602
128	16	0.395428978057	-0.0220931729397	0.0402445603474
160	16	0.319923424062	0.00947558999305	-0.0425875833071
180	16	0.16282195363	0.238918280947	-0.155444442227

0.5	32	0.113592372211	0.0328951114378	-0.00324031234009
1	32	0.076140493908	0.842258310546	-0.456827121158
2	32	0.258359883935	0.615763571624	-0.267887536573
4	32	1.19474157746	-1.23898245058	0.5960589589
8	32	4.30385040727	-7.85909698108	3.47087389369
16	32	1.69287853737	2.55370157943	-1.25793921223
