"#Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
13	60	0.73	0.7783989139	1.4606847699	0.2343559634	1.066299882	0.192021607	0.2630432972	0.3603332839	0.8076923077	0.8076923077	0	1.3609058629	3.4022646573
20	60	0.73	0.5868902074	1.1013139565	0.213216367	0.8039591882	0.2019152025	0.2765961678	0.37889886	0.6923076923	0.6923076923	0	0.9922960811	2.4807402026
30	60	0.73	0.4229510782	0.7936781351	0.1432038169	0.5793850386	0.1823593898	0.2498073833	0.3422018949	0.4038461538	0.4038461538	0	0.905947985	2.2648699626
														
1	90	0.73	1.3732983991	2.5770283338	0.3389579093	1.8812306836	0.1560900956	0.2138220488	0.2929069161	0.1538461538	0.1538461538	0	1.821341349	4.5533533724
2	90	0.73	1.2311965522	2.3103707116	0.2718298008	1.6865706194	0.1593679481	0.2183122577	0.2990578872	0.2692307692	0.2692307692	0	1.7912823031	4.4782057578
4	90	0.73	0.9276337817	1.7407276819	0.2589516474	1.2707312078	0.1797245029	0.2461979492	0.3372574646	0.1923076923	0.1923076923	0	1.3815766703	3.4539416758
8	90	0.73	0.6180649651	1.1598141586	0.2248171028	0.8466643358	0.1805751022	0.2473631536	0.3388536352	0.2884615385	0.2884615385	0	1.2066048912	3.0165122279
13	90	0.73	0.4321115786	0.8108680402	0.1384236294	0.5919336694	0.2064054733	0.2827472238	0.387324964	0.4038461538	0.4038461538	0	1.0268527097	2.5671317742
20	90	0.73	0.3188086634	0.5982523239	0.1118004867	0.4367241964	0.1581288801	0.2166149043	0.2967327455	0.3461538462	0.3461538462	0	0.7987252487	1.9968131217
30	90	0.73	0.2366819071	0.4441394391	0.095831974	0.3242217905	0.166102221	0.227537289	0.3116949165	0.2692307692	0.2692307692	0	0.5728169634	1.4320424085
														
1	120	0.73	1.2950117213	2.4301214511	0.2603205824	1.7739886593	0.160417553	0.2197500727	0.3010274967	0.25	0.25	0	1.4872379503	3.7180948757
2	120	0.73	0.9929373785	1.8632714928	0.281569457	1.3601881897	0.1661772768	0.2276401052	0.3118357606	0.4423076923	0.4423076923	0	1.2515939532	3.1289848829
4	120	0.73	0.6465428402	1.2132535939	0.2096490545	0.8856751236	0.1972485239	0.2702034574	0.3701417225	0.5961538462	0.5961538462	0	1.1627300523	2.9068251309
8	120	0.73	0.4022928901	0.7549125354	0.1424243196	0.5510861509	0.1822972107	0.2497222065	0.3420852143	0.5961538462	0.5961538462	0	0.7749486688	1.9373716721
13	120	0.73	0.280166624	0.5257395834	0.1033308531	0.383789896	0.1574267626	0.2156530994	0.2954152047	0.1923076923	0.1923076923	0	0.7428673899	1.8571684746
20	120	0.73	0.2016090887	0.3783244299	0.0766621099	0.2761768338	0.1512312122	0.2071660441	0.2837891015	0.2307692308	0.2307692308	0	0.7128070194	1.7820175485
30	120	0.73	0.1386168934	0.260118021	0.0509076465	0.1898861553	0.1699993579	0.2328758328	0.3190079901	0.3076923077	0.3076923077	0	0.5581990438	1.3954976096
														
1	180	0.73	0.8813350762	1.6538470186	0.3219706915	1.2073083236	0.1736741921	0.2379098521	0.3259039071	0.4807692308	0.4807692308	0	1.4550112908	3.6375282271
2	180	0.73	0.6008936409	1.127591745	0.2293740129	0.8231419739	0.1946337945	0.2666216363	0.3652351182	0.4423076923	0.4423076923	0	1.2115959428	3.028989857
4	180	0.73	0.3582304182	0.6722282196	0.1267723609	0.4907266002	0.1743476195	0.2388323555	0.3271676102	0.3653846154	0.3653846154	0	0.9082966185	2.2707415462
8	180	0.73	0.1933320485	0.3627923597	0.072314673	0.2648384227	0.1698197637	0.2326298132	0.3186709771	0.25	0.25	0	0.6309672516	1.5774181289
13	180	0.73	0.1277811149	0.2397844153	0.0521615903	0.1750426232	0.165647707	0.2269146672	0.3108420098	0.2115384615	0.2115384615	0	0.5067449854	1.2668624636
20	180	0.73	0.0892344518	0.1674506508	0.0355550693	0.122238975	0.1475380691	0.2021069439	0.2768588274	0.1153846154	0.1153846154	0	0.476333574	1.1908339351
30	180	0.73	0.0605152882	0.1135584316	0.0227076931	0.0828976551	0.1457010725	0.1995905102	0.2734116579	0.1153846154	0.1153846154	0	0.3574351746	0.8935879366
