"Angle"	"Frequency"	"AF"	"ARF"	"ax"	"bx"	"cx"
160	32	5120	905.0966799188	0.1440474879	0	0
96	96	9216	940.6040612287	0.1471133983	0	0
180	32	5760	1018.2337649086	0.1124436939	0	0
128	64	8192	1024	0.1133120844	0	0
64	256	16384	1024	0.1192647883	0	0
32	1024	32768	1024	0.1137554315	0	0
16	4096	65536	1024	0.1379480571	0	0
96	128	12288	1086.1160159025	0.1011234996	0	0
128	96	12288	1254.138748305	0.0756816685	0	0
160	64	10240	1280	0.0725654943	0	0
180	64	11520	1440	0.0542945302	0	0
128	128	16384	1448.1546878701	0.0576126839	0	0
64	512	32768	1448.1546878701	0.0666080026	0	0
32	2048	65536	1448.1546878701	0.0637376678	0	0
96	256	24576	1536	0.0568734461	0	0
160	96	15360	1567.6734353812	0.0492108543	0	0
180	96	17280	1763.6326148039	0.043667506	0	0
160	128	20480	1810.1933598376	0.0418288854	0	0
180	128	23040	2036.4675298173	0.0295019434	0	0
128	256	32768	2048	0.0314916716	0	0
64	1024	65536	2048	0.0339614368	0	0
32	4096	131072	2048	0.0355181098	0	0
96	512	49152	2172.2320318051	0.0273204861	0	0
160	256	40960	2560	0.0190438965	0	0
180	256	46080	2880	0.0151589298	0	0
128	512	65536	2896.3093757401	0.015711862	0	0
64	2048	131072	2896.3093757401	0.0167821734	0	0
96	1024	98304	3072	0.0149757061	0	0
160	512	81920	3620.3867196751	0.0099749414	0	0
180	512	92160	4072.9350596345	0.007575483	0	0
128	1024	131072	4096	0.0079046161	0	0
64	4096	262144	4096	0.0088297162	0	0
96	2048	196608	4344.4640636102	0.0066518049	0	0
160	1024	163840	5120	0.0048875337	0	0
180	1024	184320	5760	0.0037109514	0	0
128	2048	262144	5792.6187514802	0.0041984341	0	0
96	4096	393216	6144	0.003880738	0	0
160	2048	327680	7240.7734393503	0.0025343894	0	0
180	2048	368640	8145.870119269	0.0019108406	0	0
128	4096	524288	8192	0.0019701595	0	0
160	4096	655360	10240	0.0012218343	0	0
180	4096	737280	11520	0.0010258105	0	0
