"Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
20	90	1.46	1.2956814088	0.6078445341	0.4454435943	0.8874530197	0.3279028276	0.2245909778	0.1538294369	1.9230769231	1.4807692308	7.6923076923	1.6298043744	4.0745109359
30	90	1.46	0.8995521622	0.4220079575	0.3097216262	0.616131618	0.2744268136	0.1879635709	0.1287421719	1.2692307692	1.2115384615	3.8461538462	1.1459817638	2.8649544094
														
8	120	1.46	1.6443746676	0.7714274102	0.5733015825	1.1262840189	0.3379406349	0.2314661883	0.1585384851	2.2115384615	1.7884615385	9.6153846154	1.7926514643	4.4816286608
13	120	1.46	1.1176349742	0.524317402	0.3837458311	0.765503407	0.3375362663	0.2311892235	0.1583487832	2.0769230769	1.7692307692	9.6153846154	1.3323986309	3.3309965771
20	120	1.46	0.7600555986	0.3565657715	0.2627815332	0.5205860265	0.1858160155	0.1272712435	0.0871720846	0.7115384615	0.7115384615	0	1.1866540916	2.966635229
30	120	1.46	0.5368159248	0.2518370824	0.1833585984	0.3676821403	0.1972447558	0.1350991478	0.0925336629	0.7692307692	0.7692307692	0	0.9037603136	2.259400784
														
8	180	1.46	0.8361784777	0.3922773868	0.3191419813	0.5727249847	0.2966395161	0.2031777507	0.139162843	1.4038461539	1.1153846154	3.8461538462	1.3725789707	3.4314474267
13	180	1.46	0.5285359093	0.247952669	0.1887168996	0.3620108968	0.1695206406	0.1161100278	0.0795274163	0.5	0.5	0	1.053842908	2.6346072701
20	180	1.46	0.3546035608	0.166355583	0.1268798845	0.2428791512	0.1834929172	0.1256800803	0.0860822468	0.5192307692	0.5192307692	0	0.9716618015	2.4291545037
30	180	1.46	0.2506062422	0.1175671994	0.0946930396	0.1716481111	0.1719822241	0.1177960439	0.0806822219	0.4038461538	0.4038461538	0	0.8439331958	2.1098329894
														
8	0	2.19	0	0	0	0	0.1781908433	0.0813656819	0.0371532794	0.3269230769	0.3269230769	0	0	0
13	0	2.19	0	0	0	0	0.1895737836	0.0865633715	0.0395266537	0.6923076923	0.6730769231	1.9230769231	0	0
20	0	2.19	0	0	0	0	0.224570673	0.1025436863	0.0468236011	0.9038461538	0.9038461538	0	0	0
30	0	2.19	0	0	0	0	0.1578450953	0.072075386	0.0329111352	0.4615384615	0.4615384615	0	0	0
														
8	30	2.19	11.9028009101	2.481766625	3.0457850782	5.4350689087	0.3001807686	0.1370688441	0.0625885133	1.5576923077	1.3846153846	5.7692307692	6.0045377413	15.0113443533
13	30	2.19	11.6946787034	2.4383725743	2.7133623899	5.3400359376	0.3764911408	0.1719137629	0.0784994351	2.1346153846	1.8461538462	7.6923076923	6.0046287785	15.0115719462
20	30	2.19	10.3302833799	2.1538924084	2.6279706026	4.7170243744	0.2865636711	0.1308509914	0.0597493111	1.9615384615	1.75	11.5384615385	5.3979882426	13.4949706065
30	30	2.19	9.4436949928	1.9690362988	2.4313802979	4.3121894944	0.4752491923	0.2170087636	0.0990907596	4.6730769231	2.8076923077	32.6923076923	5.0493071785	12.6232679464
														
8	60	2.19	8.9041877926	1.8565475684	2.4263609046	4.0658391747	0.4026446219	0.1838559917	0.0839525076	3.5576923077	2.4230769231	30.7692307692	5.5512619008	13.878154752
13	60	2.19	6.8207409741	1.4221431943	2.0811295886	3.1144935955	0.5760573748	0.2630398972	0.1201095421	5.0769230769	2.9230769231	36.5384615385	4.0928799223	10.2321998058
20	60	2.19	5.2106990741	1.0864450437	1.7051003915	2.3793146457	0.6832388503	0.3119812102	0.1424571736	8.0192307692	3.3269230769	42.3076923077	3.5659176774	8.9147941935
