"Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
13	60	0.73	0.7783989139	1.4606847699	0.2343559634	1.066299882	0.192021607	0.2630432972	0.3603332839	0.8076923077	0.8076923077	0	1.3609058629	3.4022646573
20	60	0.73	0.5868902074	1.1013139565	0.213216367	0.8039591882	0.2019152025	0.2765961678	0.37889886	0.6923076923	0.6923076923	0	0.9922960811	2.4807402026
30	60	0.73	0.4229510782	0.7936781351	0.1432038169	0.5793850386	0.1823593898	0.2498073833	0.3422018949	0.4038461538	0.4038461538	0	0.905947985	2.2648699626
														
1	90	0.73	1.3732983991	2.5770283338	0.3389579093	1.8812306836	0.1560900956	0.2138220488	0.2929069161	0.1538461538	0.1538461538	0	1.821341349	4.5533533724
2	90	0.73	1.2311965522	2.3103707116	0.2718298008	1.6865706194	0.1593679481	0.2183122577	0.2990578872	0.2692307692	0.2692307692	0	1.7912823031	4.4782057578
4	90	0.73	0.9276337817	1.7407276819	0.2589516474	1.2707312078	0.1797245029	0.2461979492	0.3372574646	0.1923076923	0.1923076923	0	1.3815766703	3.4539416758
8	90	0.73	0.6180649651	1.1598141586	0.2248171028	0.8466643358	0.1805751022	0.2473631536	0.3388536352	0.2884615385	0.2884615385	0	1.2066048912	3.0165122279
13	90	0.73	0.4321115786	0.8108680402	0.1384236294	0.5919336694	0.2064054733	0.2827472238	0.387324964	0.4038461538	0.4038461538	0	1.0268527097	2.5671317742
20	90	0.73	0.3188086634	0.5982523239	0.1118004867	0.4367241964	0.1581288801	0.2166149043	0.2967327455	0.3461538462	0.3461538462	0	0.7987252487	1.9968131217
30	90	0.73	0.2366819071	0.4441394391	0.095831974	0.3242217905	0.166102221	0.227537289	0.3116949165	0.2692307692	0.2692307692	0	0.5728169634	1.4320424085
														
1	120	0.73	1.2950117213	2.4301214511	0.2603205824	1.7739886593	0.160417553	0.2197500727	0.3010274967	0.25	0.25	0	1.4872379503	3.7180948757
2	120	0.73	0.9929373785	1.8632714928	0.281569457	1.3601881897	0.1661772768	0.2276401052	0.3118357606	0.4423076923	0.4423076923	0	1.2515939532	3.1289848829
4	120	0.73	0.6465428402	1.2132535939	0.2096490545	0.8856751236	0.1972485239	0.2702034574	0.3701417225	0.5961538462	0.5961538462	0	1.1627300523	2.9068251309
8	120	0.73	0.4022928901	0.7549125354	0.1424243196	0.5510861509	0.1822972107	0.2497222065	0.3420852143	0.5961538462	0.5961538462	0	0.7749486688	1.9373716721
13	120	0.73	0.280166624	0.5257395834	0.1033308531	0.383789896	0.1574267626	0.2156530994	0.2954152047	0.1923076923	0.1923076923	0	0.7428673899	1.8571684746
20	120	0.73	0.2016090887	0.3783244299	0.0766621099	0.2761768338	0.1512312122	0.2071660441	0.2837891015	0.2307692308	0.2307692308	0	0.7128070194	1.7820175485
30	120	0.73	0.1386168934	0.260118021	0.0509076465	0.1898861553	0.1699993579	0.2328758328	0.3190079901	0.3076923077	0.3076923077	0	0.5581990438	1.3954976096
														
1	180	0.73	0.8813350762	1.6538470186	0.3219706915	1.2073083236	0.1736741921	0.2379098521	0.3259039071	0.4807692308	0.4807692308	0	1.4550112908	3.6375282271
2	180	0.73	0.6008936409	1.127591745	0.2293740129	0.8231419739	0.1946337945	0.2666216363	0.3652351182	0.4423076923	0.4423076923	0	1.2115959428	3.028989857
4	180	0.73	0.3582304182	0.6722282196	0.1267723609	0.4907266002	0.1743476195	0.2388323555	0.3271676102	0.3653846154	0.3653846154	0	0.9082966185	2.2707415462
8	180	0.73	0.1933320485	0.3627923597	0.072314673	0.2648384227	0.1698197637	0.2326298132	0.3186709771	0.25	0.25	0	0.6309672516	1.5774181289
13	180	0.73	0.1277811149	0.2397844153	0.0521615903	0.1750426232	0.165647707	0.2269146672	0.3108420098	0.2115384615	0.2115384615	0	0.5067449854	1.2668624636
20	180	0.73	0.0892344518	0.1674506508	0.0355550693	0.122238975	0.1475380691	0.2021069439	0.2768588274	0.1153846154	0.1153846154	0	0.476333574	1.1908339351
30	180	0.73	0.0605152882	0.1135584316	0.0227076931	0.0828976551	0.1457010725	0.1995905102	0.2734116579	0.1153846154	0.1153846154	0	0.3574351746	0.8935879366
														
1	0	1.46	0	0	0	0	0.1589674502	0.1088818152	0.0745765858	0.3269230769	0.3269230769	0	0	0
2	0	1.46	0	0	0	0	0.1664109603	0.1139801098	0.0780685684	0.4615384615	0.4615384615	0	0	0
4	0	1.46	0	0	0	0	0.1579157279	0.1081614575	0.07408319	0.3269230769	0.3269230769	0	0	0
8	0	1.46	0	0	0	0	0.161266261	0.1104563431	0.0756550296	0.3653846154	0.3653846154	0	0	0
13	0	1.46	0	0	0	0	0.1704129716	0.1167212134	0.0799460366	0.2884615385	0.2884615385	0	0	0
20	0	1.46	0	0	0	0	0.1584676971	0.1085395185	0.074342136	0.25	0.25	0	0	0
30	0	1.46	0	0	0	0	0.156329497	0.1070749979	0.0733390397	0.2115384615	0.2115384615	0	0	0
														
1	30	1.46	3.0314998186	1.422171054	1.3886566781	2.0763697387	0.181766435	0.1244975582	0.0852723002	0.5576923077	0.5576923077	0	4.1147865343	10.2869663358
2	30	1.46	4.0570514252	1.9032892781	1.6169434424	2.778802346	0.1760956864	0.1206134838	0.0826119752	0.3653846154	0.3653846154	0	4.4036710898	11.0091777246
4	30	1.46	5.0072727509	2.3490677195	1.597488087	3.4296388704	0.2074964635	0.1421208654	0.0973430585	0.8461538462	0.8461538462	0	3.9605427228	9.9013568071
8	30	1.46	5.4182204697	2.5418561033	1.4025272877	3.7111099107	0.2212036273	0.1515093338	0.1037735163	0.9807692308	0.9807692308	0	3.8082229136	9.5205572841
13	30	1.46	5.3244332764	2.4978576076	1.1146742212	3.6468721071	0.1766290453	0.1209787981	0.0828621905	0.7307692308	0.7307692308	0	3.5043074949	8.7607687373
20	30	1.46	4.8756876355	2.2873370405	1.1698098329	3.3395120791	0.2409115505	0.1650079113	0.1130191173	1.0192307692	1.0192307692	0	3.0056657598	7.5141643994
30	30	1.46	4.1738834391	1.9580988174	1.1388130616	2.8588242734	0.2569343784	0.175982451	0.1205359253	1.3461538462	1.1730769231	5.7692307692	3.3067344951	8.2668362378
														
1	60	1.46	4.9428540762	2.3188469113	1.7519326809	3.3855164906	0.1630266817	0.1116621107	0.0764808978	0.3461538462	0.3461538462	0	3.974284715	9.9357117875
2	60	1.46	5.3296298452	2.50029548	1.3834295649	3.6504314008	0.1947942881	0.1334207453	0.0913840721	0.7884615385	0.7692307692	1.9230769231	3.6016586065	9.0041465164
4	60	1.46	5.1259188764	2.4047283151	1.0819294435	3.51090334	0.2377042154	0.1628111065	0.1115144565	1.1730769231	1.1538461539	1.9230769231	3.4042316861	8.5105792153
8	60	1.46	3.8891536544	1.8245232006	1.0765459984	2.6638038729	0.3327196878	0.2278901971	0.1560891761	1.7884615385	1.4423076923	9.6153846154	2.8444374029	7.1110935072
13	60	1.46	2.9426083323	1.3804692871	0.8911720584	2.0154851591	0.3414605781	0.2338771083	0.1601898002	2.5	1.8076923077	13.4615384615	2.5932844144	6.4832110359
20	60	1.46	2.4187436269	1.1347080254	0.8532525263	1.6566737171	0.4348073392	0.2978132461	0.2039816754	2.9807692308	2.2884615385	17.3076923077	2.3344400555	5.8361001386
30	60	1.46	1.7669030203	0.8289092796	0.6589689669	1.2102075481	0.3278551961	0.2245583535	0.1538070914	2.6153846154	2.0769230769	13.4615384615	1.8763715953	4.6909289883
														
1	90	1.46	5.6932786054	2.670894448	1.1939462242	3.8995058941	0.1894307474	0.1297470872	0.088867868	0.4807692308	0.4807692308	0	3.8343965057	9.5859912642
2	90	1.46	4.8922578141	2.2951106277	1.0607052103	3.3508615165	0.2322356958	0.1590655451	0.1089490035	1.2692307692	1.2307692308	1.9230769231	3.6492426373	9.1231065932
4	90	1.46	3.7001660501	1.7358632249	1.0688576668	2.5343603083	0.3059389724	0.2095472414	0.1435255078	1.8076923077	1.6346153846	5.7692307692	2.856819066	7.1420476651
8	90	1.46	2.489028888	1.1676810321	0.8472122877	1.7048143068	0.3001245934	0.20556479	0.1407978014	2.3461538462	2.1153846154	9.6153846154	2.3843960505	5.9609901262
13	90	1.46	1.7845423745	0.8371844504	0.6625009864	1.2222892976	0.3541234032	0.2425502762	0.1661303261	2.4807692308	1.9230769231	11.5384615385	1.8972785934	4.7431964836
20	90	1.46	1.2956814088	0.6078445341	0.4454435943	0.8874530197	0.3279028276	0.2245909778	0.1538294369	1.9230769231	1.4807692308	7.6923076923	1.6298043744	4.0745109359
30	90	1.46	0.8995521622	0.4220079575	0.3097216262	0.616131618	0.2744268136	0.1879635709	0.1287421719	1.2692307692	1.2115384615	3.8461538462	1.1459817638	2.8649544094
														
1	120	1.46	5.1946547283	2.4369744456	1.1438089224	3.5579826906	0.1879310127	0.1287198717	0.0881642957	0.6923076923	0.6538461538	1.9230769231	3.4313835167	8.5784587917
2	120	1.46	3.8763373509	1.8185106732	1.0691676574	2.6550255828	0.3483739607	0.2386123018	0.1634330835	2.1346153846	1.9230769231	5.7692307692	2.8313241276	7.078310319
4	120	1.46	2.7720690721	1.3004640046	0.9373872319	1.8986774467	0.4778661357	0.3273055724	0.2241818989	2.9807692308	2.2692307692	13.4615384615	2.9895276946	7.4738192366
8	120	1.46	1.6443746676	0.7714274102	0.5733015825	1.1262840189	0.3379406349	0.2314661883	0.1585384851	2.2115384615	1.7884615385	9.6153846154	1.7926514643	4.4816286608
13	120	1.46	1.1176349742	0.524317402	0.3837458311	0.765503407	0.3375362663	0.2311892235	0.1583487832	2.0769230769	1.7692307692	9.6153846154	1.3323986309	3.3309965771
20	120	1.46	0.7600555986	0.3565657715	0.2627815332	0.5205860265	0.1858160155	0.1272712435	0.0871720846	0.7115384615	0.7115384615	0	1.1866540916	2.966635229
30	120	1.46	0.5368159248	0.2518370824	0.1833585984	0.3676821403	0.1972447558	0.1350991478	0.0925336629	0.7692307692	0.7692307692	0	0.9037603136	2.259400784
														
