Angle	Frequency	ax	bx	cx
1	512	1.0380054538	0	0
2	512	2.01188793151	0	0
4	512	2.5637212991	0	0
8	512	1.8168720249	0	0
16	512	0.732694231975	0	0
24	512	0.386056955656	0	0
32	512	0.250190563359	0	0
40	512	0.162288220999	0	0
48	512	0.118813266293	0	0
56	512	0.0829049580008	0	0
64	512	0.0613506251132	0	0
72	512	0.0517379256971	0	0
80	512	0.0399819831826	0	0
96	512	0.0284099976326	0	0
112	512	0.0214289111072	0	0
128	512	0.0153762086551	0	0
144	512	0.0121731179474	0	0
160	512	0.00992737981489	0	0
180	512	0.00764808153618	0	0

0.5	1024	0.802512362831	0	0
1	1024	1.57020696565	0	0
2	1024	2.3468425715	0	0
4	1024	2.30169894559	0	0
8	1024	1.17307294482	0	0
16	1024	0.456464726802	0	0
24	1024	0.210728264721	0	0
32	1024	0.121961794265	0	0
40	1024	0.0881605333475	0	0
48	1024	0.0589631767535	0	0
56	1024	0.0445528146585	0	0
64	1024	0.0322163053931	0	0
72	1024	0.0264766981219	0	0
80	1024	0.0231903758688	0	0
96	1024	0.0143527449288	0	0
112	1024	0.0110325676276	0	0
128	1024	0.00797585245712	0	0
144	1024	0.00617326358829	0	0
160	1024	0.00499804227447	0	0
180	1024	0.00415524439576	0	0

0.5	2048	1.10062101928	0	0
1	2048	1.82232624959	0	0
2	2048	2.57925207307	0	0
4	2048	1.77281576074	0	0
8	2048	0.783000012224	0	0
16	2048	0.241358862079	0	0
24	2048	0.125650507872	0	0
32	2048	0.0723147351655	0	0
40	2048	0.0469342916242	0	0
48	2048	0.0334400336308	0	0
56	2048	0.0243459613443	0	0
64	2048	0.018324931097	0	0
72	2048	0.0150092547142	0	0
80	2048	0.0115061027394	0	0
96	2048	0.00832987846092	0	0
112	2048	0.0059404591204	0	0
128	2048	0.0045816380006	0	0
144	2048	0.00325465568368	0	0
160	2048	0.0026999798522	0	0
180	2048	0.00201041043844	0	0

0.5	4096	1.44930778576	0	0
1	4096	2.25420414889	0	0
2	4096	2.4080583357	0	0
4	4096	1.38632415031	0	0
8	4096	0.510662296849	0	0
16	4096	0.153173231822	0	0
24	4096	0.0707497605216	0	0
32	4096	0.0398197854607	0	0
40	4096	0.0258486121382	0	0
48	4096	0.0192822902679	0	0
56	4096	0.0137632594541	0	0
64	4096	0.0104812927924	0	0
72	4096	0.00810603148192	0	0
80	4096	0.00637439970308	0	0
96	4096	0.00444908993782	0	0
112	4096	0.00305838294044	0	0
128	4096	0.00241059211018	0	0
144	4096	0.0018505542664	0	0
160	4096	0.00146919629166	0	0
180	4096	0.00111411718251	0	0
