FrameTime	CursorPosScreenX	CursorPosScreenY	SuccessfulSel?	dx	dy	dt	distance	cursorSpeed	smoothSpeed12	smoothSpeed24	smoothSpeed48	smoothSpeed96
39.07013	1117	296	False	1.0	-8.0	0.01646999999999821	8.06225774829855	489.51170299328635	425.91157629348044	796.4539354596127	1458.4775872721104	1213.3606382630421
39.086870000000005	1117	288	False	0.0	-8.0	0.01674000000000575	8.0	477.8972520906363	371.3607484057998	803.8009811966054	1452.3946358762516	1218.3387346389861
39.10358	1117	269	False	0.0	-19.0	0.016709999999996228	19.0	1137.0436864155768	414.738989035307	843.7017249088939	1458.8011448480531	1230.1829397058152
39.1203	1117	251	False	0.0	-18.0	0.016719999999999402	18.0	1076.5550239234835	479.0987876001753	868.0084153713354	1472.3443375561162	1241.3970545383515
39.13689	1117	241	False	0.0	-10.0	0.01659000000000077	10.0	602.7727546714608	503.70148542315127	865.262254512602	1481.3437962072494	1229.6851087614968
39.15416	1116	237	False	-1.0	-4.0	0.017269999999996344	4.123105625617661	238.74381155868753	516.5734937444735	832.1034527791257	1482.6062241895443	1182.121803997212
39.17047	1117	235	False	1.0	-2.0	0.016310000000004266	2.23606797749979	137.09797532183967	502.9432037545054	774.2319381671632	1467.905755209558	1109.6120629419236
39.1869	1125	227	False	8.0	-8.0	0.016429999999999723	11.313708498984761	688.6006390130829	542.2373304780898	751.4803497684323	1474.8353524981574	983.8718604294298
39.20357	1132	219	False	7.0	-8.0	0.016669999999997742	10.63014581273465	637.6812125216611	568.9328979960432	717.3370815329041	1485.632815569971	953.4466207478359
39.22034	1138	212	False	6.0	-7.0	0.016770000000001062	9.219544457292887	549.7641298325763	578.0894259892438	670.7343505222617	1497.0862349414829	950.7045925695135
39.23688	1141	206	False	3.0	-6.0	0.01653999999999911	6.708203932499369	405.57460293226904	576.619272485109	613.9899541251028	1505.5357058359052	954.2945524733569
39.25372	1142	203	False	1.0	-3.0	0.016840000000001965	3.1622776601683795	187.78370903610514	552.4188750258899	538.1887027338212	1499.5507959736794	956.2506327758164
39.270309999999995	1144	200	False	2.0	-3.0	0.016589999999993665	3.605551275463989	217.33280744215585	529.7373003966289	477.8244383450538	1450.7155169232883	957.2854109752661
39.2869	1146	191	False	2.0	-9.0	0.016590000000007876	9.219544457292887	555.7290209336052	536.2232811335431	453.7920147696705	1307.3585767614547	959.8453925360341
39.30372	1146	181	False	0.0	-10.0	0.016819999999995616	10.0	594.5303210465283	491.0138340194556	452.8764115273804	1092.7078956360215	960.1854901625447
39.3204	1142	174	False	-4.0	-7.0	0.016680000000000916	8.06225774829855	483.34878586919103	441.5799808482646	460.33938422421903	866.2808322989904	953.5690684543277
39.33697	1135	169	False	-7.0	-5.0	0.016570000000001528	8.602325267042627	519.1505894412694	434.61146707908205	469.1564762511157	746.8279576902627	943.477815575989
39.35393	1117	168	False	-18.0	-1.0	0.01695999999999742	18.027756377319946	1062.9573335685548	503.29592724657095	509.9347104955213	730.9700423299078	942.0326958549895
39.3707	1091	178	False	-26.0	10.0	0.016770000000001062	27.85677655436824	1661.1077253647272	630.2967397501449	566.6199717523242	741.0637171046814	955.950538217039
39.38707	1072	187	False	-19.0	9.0	0.016370000000001994	21.02379604162864	1284.288090508618	679.9373607081062	611.0873455930972	750.2865011186988	969.3285391598371
39.40388	1060	189	False	-12.0	2.0	0.016809999999999548	12.165525060596439	723.7076181199742	687.1062278412988	628.0195629186702	751.9997248803197	976.8671601819202
39.420590000000004	1053	193	False	-7.0	4.0	0.016710000000003333	8.06225774829855	482.4810142607385	681.4993015436457	629.7943637664438	741.5036226624123	981.8930040804697
39.43703	1048	195	False	-5.0	2.0	0.01643999999999579	5.385164807134504	327.5647692905038	674.9984820734986	625.8088772793029	727.2590804402303	985.3051370939124
39.45381	1045	197	False	-3.0	2.0	0.01677999999999713	3.605551275463989	214.87194728632932	677.2558352610173	614.8373551434527	711.135040018501	986.9229775712164
39.47057	1038	202	False	-7.0	5.0	0.016760000000004993	8.602325267042627	513.2652307303141	701.9168705350304	615.8270854658289	706.1405104627207	985.1319739581621
39.48705	1027	209	False	-11.0	7.0	0.016480000000001382	13.038404810405298	791.1653404371483	721.5365638269923	628.8799224802668	716.340451838436	982.4340575513771
39.50395	1003	223	False	-24.0	14.0	0.016899999999999693	27.784887978899608	1644.0762117692375	808.9987213872181	650.0062777033361	746.8540013061148	992.4649724844371
39.52061	964	248	False	-39.0	25.0	0.016659999999994568	46.32493928760188	2780.608600697298	1000.4370392895603	721.0085100689116	794.5084627201235	1017.6983021247839
39.53709	938	263	False	-26.0	15.0	0.016480000000001382	30.01666203960727	1821.3993956070844	1108.9577731367115	771.784620107896	818.5234373102489	1032.704879889622
39.55386	932	268	False	-6.0	5.0	0.016770000000001062	7.810249675906654	465.7274702388885	1059.1886178592392	781.2422725529044	806.672862666015	1035.3325353667717
39.5706	932	268	False	0.0	0.0	0.016739999999998645	0.0	0.0	920.7629740788453	775.5298569144944	774.8808975408288	1033.3251988467584
39.58709	934	270	False	2.0	2.0	0.016490000000004557	2.8284271247461903	171.5237795479326	828.0326148321216	753.9849877701132	752.7326687692727	1032.6273093758648
39.6039	935	270	False	1.0	0.0	0.016809999999999548	1.0	59.488399762048005	772.6810133022944	729.8936205717961	723.6153510523501	1032.0098463983265
39.62077	936	270	False	1.0	0.0	0.016869999999997276	1.0	59.276822762309514	737.413997344092	709.4566494438683	690.095499983065	1030.842771657677
39.63713	937	270	False	1.0	0.0	0.01635999999999882	1.0	61.124694376532524	715.2106577679277	695.1045699207126	654.5472620229076	1027.034287684353
39.65403	944	264	False	7.0	-6.0	0.016899999999999693	9.219544457292887	545.5351749877547	742.7659267430466	710.0108810020314	624.0997918679261	1024.6994300089093
39.67064	960	252	False	16.0	-12.0	0.016610000000000014	20.0	1204.0939193257063	800.334984125996	751.1259273305127	614.4751828377831	1026.2452586642933
39.687290000000004	988	236	False	28.0	-16.0	0.016650000000005605	32.2490309931942	1936.8787383293297	895.8111006170111	808.6738322220012	631.2329234958357	1040.0956284391114
39.703990000000005	1014	222	False	26.0	-14.0	0.01670000000000016	29.5296461204668	1768.2422826626657	906.1582731914635	857.5784972893402	655.2274544083602	1050.845351573956
