i	speed	frequency	angle	area	area/speed2	normedArea/s2	difficulty	amplitude	time	errors	product	product_-2.0	product_-1.5	product_-1.0	product_-0.5	product_0.0	product_0.5	product_1.5	product_2.0
14	3	1	0	0.0	0.0	0.0	1.8	4.5	1.848511	0.0	1.848511	1.848511	1.848511	1.848511	1.848511	1.848511	1.848511	1.848511	1.848511
15	3	16	45	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.1490479999999998	0.0	1.1490479999999998	1.1490479999999998	1.1490479999999998	1.1490479999999998	1.1490479999999998	1.1490479999999998	1.1490479999999998	1.1490479999999998	1.1490479999999998
16	3	4	45	25.52536	2.8361520000000002	0.9972122	1.8200169999999998	4.5	1.40625	0.0	1.40625	1.40625	1.40625	1.40625	1.40625	1.40625	1.40625	1.40625	1.40625
17	3	16	180	1.695271	0.18836340000000001	0.06622999	2.245274	4.5	2.398682	2.0	7.196046	3.15684304553691	3.537207306895654	4.154639095200929	5.216129329338364	7.196046	11.342897966626628	53.638345675376094	194.293242
18	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	2.505249	2.0	7.515747	3.2970931048752186	3.6943559289614174	4.339218553611122	5.447867948396498	7.515747	11.846832463825299	56.0213533369118	202.925169
19	5	16	180	4.709085	0.18836340000000001	0.06622999	3.7421230000000003	4.5	1.598877	0.0	1.598877	1.598877	1.598877	1.598877	1.598877	1.598877	1.598877	1.598877	1.598877
20	5	16	45	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.6903080000000001	0.0	1.6903080000000001	1.6903080000000001	1.6903080000000001	1.6903080000000001	1.6903080000000001	1.6903080000000001	1.6903080000000001	1.6903080000000001	1.6903080000000001
21	5	32	90	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.556152	1.0	3.112304	1.8505870304257144	1.9883012743928554	2.2007312635140166	2.5404600307375205	3.112304	4.147369387935679	11.053337231829522	24.898432
22	3	8	180	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.474243	0.0	1.474243	1.474243	1.474243	1.474243	1.474243	1.474243	1.474243	1.474243	1.474243
23	3	8	45	23.60454	2.6227270000000003	0.9221705	2.3167590000000002	4.5	1.031982	0.0	1.031982	1.031982	1.031982	1.031982	1.031982	1.031982	1.031982	1.031982	1.031982
24	5	32	45	29.61386	1.184555	0.41649830000000004	5.91633	4.5	1.71521	0.0	1.71521	1.71521	1.71521	1.71521	1.71521	1.71521	1.71521	1.71521	1.71521
25	3	8	90	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	1.232178	0.0	1.232178	1.232178	1.232178	1.232178	1.232178	1.232178	1.232178	1.232178	1.232178
0	5	1	0	0.0	0.0	0.0	3.0	4.5	1.333008	1.0	2.666016	1.5852225979555472	1.7031893447271678	1.8851579923518347	2.176171443826413	2.666016	3.5526584633592115	9.46834689460066	21.328128
1	5	4	45	70.90379	2.8361509999999996	0.9972120999999999	3.033362	4.5	1.139526	0.0	1.139526	1.139526	1.139526	1.139526	1.139526	1.139526	1.139526	1.139526	1.139526
2	5	4	90	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	3.7299800000000003	1.0	7.459960000000001	4.43571875481785	4.76580950155246	5.274988303380398	6.089292758965922	7.459960000000001	9.940934349351688	26.494022954042716	59.679680000000005
3	5	8	90	29.61386	1.184555	0.41649830000000004	5.91633	4.5	1.623413	0.0	1.623413	1.623413	1.623413	1.623413	1.623413	1.623413	1.623413	1.623413	1.623413
4	5	16	90	16.587	0.6634799	0.23328449999999998	5.146354	4.5	2.497925	0.0	2.497925	2.497925	2.497925	2.497925	2.497925	2.497925	2.497925	2.497925	2.497925
5	5	4	180	16.587	0.6634799	0.23328449999999998	5.146354	4.5	1.6397709999999999	0.0	1.6397709999999999	1.6397709999999999	1.6397709999999999	1.6397709999999999	1.6397709999999999	1.6397709999999999	1.6397709999999999	1.6397709999999999	1.6397709999999999
6	5	8	45	65.56818	2.6227270000000003	0.9221705	3.861265	4.5	2.098389	1.0	4.196778	2.495419128843445	2.6811195325854738	2.9675701829345167	3.425676529952906	4.196778	5.592509152435599	14.904843010555215	33.574224
7	3	16	90	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.498291	1.0	2.996582	1.7817783175445419	1.9143720566572842	2.1189034525815473	2.4460003906519097	2.996582	3.99316148269548	10.642350936422076	23.972656
