Title	Distance	Vitesse	Aire	Aire/V²
"Originale"	10.9478	2.18956	4.07569	0.850134111856384
"F' = 16"	8.4806	1.69612	3.91537	1.3610048049398
"F' = 8"	6.40446	1.280892	3.82226	2.3296742484267
"F' = 4"	5.02201	1.004402	3.47218	3.44181159664101
