#Angle	Frequency	Speed	Average_Time	Errors	Capped_Errors	Failure_rate	AF	ASQRTF	Time/speed					
120	13	0.81	0.4574828391	6.2692307692	3.2115384615	38.4615384615	1560	432.6661530557	0.5647936285					
90	30	0.54	0.2744268136	1.2692307692	1.2115384615	3.8461538462	2700	492.9503017547	0.5081978029					
90	30	0.81	0.3904218297	4.4615384615	2.7307692308	32.6923076923	2700	492.9503017547	0.4820022589					
180	8	0.54	0.2966395161	1.4038461539	1.1153846154	3.8461538462	1440	509.1168824543	0.5493324371					
180	8	0.81	0.4453063797	3.1538461539	2.2115384615	19.2307692308	1440	509.1168824543	0.5497609626					
120	20	0.54	0.1858160155	0.7115384615	0.7115384615	0	2400	536.6563146	0.3441037324					
120	20	0.81	0.4864724568	3.3653846154	2.7115384615	19.2307692308	2400	536.6563146	0.6005832799					
180	13	0.54	0.1695206406	0.5	0.5	0	2340	648.9992295835	0.3139271121					
180	13	0.81	0.3429083658	1.6730769231	1.4230769231	7.6923076923	2340	648.9992295835	0.4233436615					
120	30	0.54	0.1972447558	0.7692307692	0.7692307692	0	3600	657.2670690062	0.3652680663					
120	30	0.81	0.2418160707	1.5	1.2884615385	5.7692307692	3600	657.2670690062	0.2985383589					
180	20	0.54	0.1834929172	0.5192307692	0.5192307692	0	3600	804.9844718999	0.3398016986					
180	20	0.81	0.2493859154	1.0769230769	1.0576923077	1.9230769231	3600	804.9844718999	0.3078838462					
180	30	0.54	0.1719822241	0.4038461538	0.4038461538	0	5400	985.9006035093	0.3184856002				-0.1101812341	-0.0088391565
180	30	0.81	0.2183981268	1.1538461539	1.1346153846	1.9230769231	5400	985.9006035093	0.269627317					
