"Title"	Distance	Vitesse	Aire	Aire/V²
"Originale"	10.9478	2.18956	4.80065	1.00135101641277
"L = 62,5"	8.61528	1.723056	4.6717	1.5735341086193
"L = 125"	6.90939	1.381878	4.4895	2.35103216246336
"L = 250"	5.14001	1.028002	4.11578	3.89461231939409
