Angle	Frequency	m	p	ARF	AF	m
64	128	1.9507150757	0.0438046873	724.077343935	8192	1.9507150757
32	512	1.9608401489	0.0460832424	724.077343935	16384	1.9608401489
72	112	1.8190304262	0.0489602258	761.9763775866	8064	1.8190304262
96	64	1.8226705713	0.0155129777	768	6144	1.8226705713
48	256	1.8504945376	0.0532826086	768	12288	1.8504945376
112	48	1.7811478666	0.0023623381	775.9587617909	5376	1.7811478666
56	192	1.9556578857	-0.008839127	775.9587617909	10752	1.9556578857
160	24	1.7090958485	0.0223547853	783.8367176906	3840	1.7090958485
80	96	1.847196316	-0.0012206746	783.8367176906	7680	1.847196316
40	384	1.9663014797	-0.0149924095	783.8367176906	15360	1.9663014797
180	20	1.6748031876	-0.0071989822	804.9844718999	3600	1.6748031876
128	40	1.6952134318	0.0090053398	809.5430810031	5120	1.6952134318
64	160	1.899465663	-0.0582029104	809.5430810031	10240	1.899465663
144	32	1.693791842	-0.0177391296	814.5870119269	4608	1.693791842
72	128	1.7622703502	0.0034782165	814.5870119269	9216	1.7622703502
112	56	1.6521199758	0.0001219647	838.1312546374	6272	1.6521199758
56	224	1.780678696	0.0186553974	838.1312546374	12544	1.780678696
80	112	1.6701361319	0.0208276748	846.6404195407	8960	1.6701361319
96	80	1.679250853	0.0081810183	858.6501033599	7680	1.679250853
48	320	1.9068672069	-0.026313912	858.6501033599	15360	1.9068672069
180	24	1.5666945056	-0.0123676706	881.8163074019	4320	1.5666945056
128	48	1.5429750314	0.0208192002	886.8100134753	6144	1.5429750314
64	192	1.72760035	0.0080782845	886.8100134753	12288	1.72760035
112	64	1.5631217533	0.0089234294	896	7168	1.5631217533
56	256	1.5881359322	0.0310105652	896	14336	1.5881359322
160	32	1.5158111145	-0.0195666877	905.0966799188	5120	1.5158111145
80	128	1.6250113719	-0.037016963	905.0966799188	10240	1.6250113719
40	512	1.5842557476	0.0583360693	905.0966799188	20480	1.5842557476
144	40	1.5187575511	-0.0132916852	910.7359661285	5760	1.5187575511
72	160	1.6619700548	-0.0035297353	910.7359661285	11520	1.6619700548
96	96	1.5546374695	-0.0107240894	940.6040612287	9216	1.5546374695
48	384	1.6254435014	0.0273243936	940.6040612287	18432	1.6254435014
128	56	1.4636121055	-0.0416314246	957.8642910141	7168	1.4636121055
64	224	1.5764887253	0.0147032452	957.8642910141	14336	1.5764887253
144	48	1.396259956	-0.0279662011	997.6612651597	6912	1.396259956
72	192	1.5635128654	-0.0354967696	997.6612651597	13824	1.5635128654
112	80	1.4512842752	-0.0080519299	1001.7584539199	8960	1.4512842752
56	320	1.602981421	0.0099939712	1001.7584539199	17920	1.602981421
160	40	1.3387369187	0.0254635204	1011.9288512539	6400	1.3387369187
80	160	1.5211357437	-0.0387578911	1011.9288512539	12800	1.5211357437
96	112	1.3863161926	-0.003320256	1015.9685034488	10752	1.3863161926
180	32	1.3383220729	0.0074788663	1018.2337649086	5760	1.3383220729
128	64	1.3674719961	0.0220665271	1024	8192	1.3674719961
64	256	1.4278590565	0.0158403647	1024	16384	1.4278590565
144	56	1.2668426382	0.0141559241	1077.5973273909	8064	1.2668426382
72	224	1.4178393335	-0.0018927707	1077.5973273909	16128	1.4178393335
96	128	1.3235199607	-0.0030218591	1086.1160159025	12288	1.3235199607
48	512	1.3335504125	0.0346175405	1086.1160159025	24576	1.3335504125
112	96	1.3455132893	-0.0375226304	1097.3714047669	10752	1.3455132893
56	384	1.3925736158	0.0398157924	1097.3714047669	21504	1.3925736158
160	48	1.2386664624	-0.0039995441	1108.5125168441	7680	1.2386664624
80	192	1.3902026429	0.0122672239	1108.5125168441	15360	1.3902026429
180	40	1.2034695051	0.0037634071	1138.4199576606	7200	1.2034695051
128	80	1.2268908299	0.0182212631	1144.8668044799	10240	1.2268908299
64	320	1.4492429459	-0.0080932329	1144.8668044799	20480	1.4492429459
144	64	1.2161496436	-0.0137985584	1152	9216	1.2161496436
72	256	1.2777845569	0.0104618853	1152	18432	1.2777845569
112	112	1.202895207	-0.0051900187	1185.2965873569	12544	1.202895207
160	56	1.143099124	0.0040813548	1197.3303637677	8960	1.143099124
80	224	1.2793499227	-0.0083079752	1197.3303637677	17920	1.2793499227
96	160	1.2539626986	-0.0143225305	1214.3146215047	15360	1.2539626986
180	48	1.080295926	0.0245310798	1247.0765814496	8640	1.080295926
128	96	1.152221543	-0.0117669856	1254.138748305	12288	1.152221543
64	384	1.2513988127	0.0069687194	1254.138748305	24576	1.2513988127
112	128	1.1503902919	-0.0147544875	1267.1353518863	14336	1.1503902919
56	512	1.1484875806	0.0397413944	1267.1353518863	28672	1.1484875806
160	64	1.0856735053	0.0043786479	1280	10240	1.0856735053
80	256	1.1472593418	-0.0152012341	1280	20480	1.1472593418
144	80	1.1045986251	0.0072578717	1287.9751550399	11520	1.1045986251
72	320	1.2590181328	0.0060013204	1287.9751550399	23040	1.2590181328
96	192	1.1481608168	0.0056705436	1330.2150202129	18432	1.1481608168
180	56	1.0040614018	0.0330012144	1346.9966592386	10080	1.0040614018
128	112	1.0421900625	-0.0059344022	1354.6246712651	14336	1.0421900625
144	96	1.016839823	-0.0003401722	1410.9060918431	13824	1.016839823
72	384	1.0857259512	0.0323560159	1410.9060918431	27648	1.0857259512
112	160	1.0446198173	0.0194067277	1416.7003917554	17920	1.0446198173
160	80	0.99053285	-0.0143108544	1431.0835055999	12800	0.99053285
80	320	1.1466897847	-0.0048685368	1431.0835055999	25600	1.1466897847
96	224	1.0453234124	0.018591861	1436.7964365212	21504	1.0453234124
180	64	0.9701502202	-0.0125356394	1440	11520	0.9701502202
128	128	0.9876410138	-0.0136167659	1448.1546878701	16384	0.9876410138
64	512	1.0379661972	-0.0160624247	1448.1546878701	32768	1.0379661972
144	112	0.9192256712	0.005515136	1523.9527551732	16128	0.9192256712
96	256	0.9539307498	0.0109395007	1536	24576	0.9539307498
112	192	0.9882196467	-0.0014885694	1551.9175235817	21504	0.9882196467
160	96	0.906497227	0.0106403342	1567.6734353812	15360	0.906497227
80	384	0.9781804824	0.0148778027	1567.6734353812	30720	0.9781804824
180	80	0.8654395739	0.0112066835	1609.9689437999	14400	0.8654395739
128	160	0.9386227963	-0.0223778405	1619.0861620062	20480	0.9386227963
144	128	0.8730639496	0.0065403311	1629.1740238538	18432	0.8730639496
72	512	0.9163330887	0.0010604438	1629.1740238538	36864	0.9163330887
112	224	0.9028328578	-0.0042449524	1676.2625092747	25088	0.9028328578
160	112	0.8190053791	0.0003141083	1693.2808390813	17920	0.8190053791
96	320	0.9589167976	-0.0045435654	1717.3002067198	30720	0.9589167976
180	96	0.7952151809	0.0050817961	1763.6326148039	17280	0.7952151809
128	192	0.8751646914	-0.0233934216	1773.6200269505	24576	0.8751646914
112	256	0.835188681	-0.03379827	1792	28672	0.835188681
160	128	0.7883994945	-0.0040978728	1810.1933598376	20480	0.7883994945
80	512	0.8235896112	0.0013600897	1810.1933598376	40960	0.8235896112
144	160	0.8201411345	-0.0062633593	1821.471932257	23040	0.8201411345
96	384	0.8184385225	0.0059592787	1881.2081224575	36864	0.8184385225
180	112	0.7282825012	0.0090307238	1904.9409439665	20160	0.7282825012
128	224	0.7945652559	-0.0014640686	1915.7285820283	28672	0.7945652559
144	192	0.7721619479	-0.0225419315	1995.3225303194	27648	0.7721619479
112	320	0.7991285571	0.0046022383	2003.5169078398	35840	0.7991285571
160	160	0.719840126	0.0054886656	2023.8577025078	25600	0.719840126
180	128	0.6948938405	-0.0052775706	2036.4675298173	23040	0.6948938405
128	256	0.7084098996	-0.0029207022	2048	32768	0.7084098996
144	224	0.6940733696	-0.0025726003	2155.1946547818	32256	0.6940733696
96	512	0.6927335265	-0.0106935028	2172.2320318051	49152	0.6927335265
112	384	0.7006571374	0.0068342475	2194.7428095337	43008	0.7006571374
160	192	0.6972557819	-0.0242492938	2217.0250336882	30720	0.6972557819
180	160	0.6512216718	-0.0042061572	2276.8399153212	28800	0.6512216718
128	320	0.7022353115	-0.0033083317	2289.7336089598	40960	0.7022353115
144	256	0.6138353326	0.0072955473	2304	36864	0.6138353326
160	224	0.6170132713	0.0022121854	2394.6607275353	35840	0.6170132713
180	192	0.610297418	-0.006203648	2494.1531628992	34560	0.610297418
128	384	0.6073264722	0.0073518884	2508.27749661	49152	0.6073264722
112	512	0.5730046272	0.0041745519	2534.2707037726	57344	0.5730046272
160	256	0.5513206451	0.0032875362	2560	40960	0.5513206451
144	320	0.6239501259	-0.0083421905	2575.9503100798	46080	0.6239501259
180	224	0.539733654	0.0160578852	2693.9933184772	40320	0.539733654
144	384	0.5396575193	0.0006711602	2821.8121836862	55296	0.5396575193
160	320	0.5586966342	-0.0046687312	2862.1670111997	51200	0.5586966342
180	256	0.4944326606	-0.0094012733	2880	46080	0.4944326606
128	512	0.4923064599	0.0115906126	2896.3093757401	65536	0.4923064599
160	384	0.4714507449	0.0142835909	3135.3468707625	61440	0.4714507449
180	320	0.4931032241	0.004184793	3219.9378875997	57600	0.4931032241
144	512	0.4435256704	-0.0011516286	3258.3480477076	73728	0.4435256704
180	384	0.4241201511	0.0043463642	3527.2652296078	69120	0.4241201511
160	512	0.3924015328	0.003573268	3620.3867196751	81920	0.3924015328
180	512	0.346517912	0.0040767228	4072.9350596345	92160	0.346517912
