Angle	Frequency	m	p	ARF	AF	m
32	0.5	9.8918094719	-0.0058146366	22.627416998	16	9.8918094719
16	2	9.8713650885	0.0051644643	22.627416998	32	9.8713650885
8	8	9.8733293734	0.0040693213	22.627416998	64	9.8733293734
4	32	9.8798409365	0.0015818996	22.627416998	128	9.8798409365
2	128	9.8777822652	-0.0016097354	22.627416998	256	9.8777822652
1	512	9.8715468945	0.0123519858	22.627416998	512	9.8715468945
24	1	9.8707318867	-0.003272326	24	24	9.8707318867
8	10	9.8382348743	-0.0014939322	25.2982212813	80	9.8382348743
4	40	9.841944607	0.0116328803	25.2982212813	160	9.841944607
2	160	9.8685173357	-0.0122322885	25.2982212813	320	9.8685173357
8	12	9.8196631997	-0.0091651063	27.7128129211	96	9.8196631997
4	48	9.8234759383	-0.0104388223	27.7128129211	192	9.8234759383
2	192	9.8308509026	0.0130337146	27.7128129211	384	9.8308509026
40	0.5	9.824205574	0.004565521	28.2842712475	20	9.824205574
4	56	9.7912290073	-0.0085578927	29.9332590942	224	9.7912290073
2	224	9.7981835254	0.0095199786	29.9332590942	448	9.7981835254
32	1	9.7689532343	0.0073273889	32	32	9.7689532343
16	4	9.7678748253	-0.0134273544	32	64	9.7678748253
8	16	9.7545795668	0.0047969274	32	128	9.7545795668
4	64	9.758628004	-0.0077891534	32	256	9.758628004
2	256	9.7655441336	-0.0062041639	32	512	9.7655441336
48	0.5	9.7415241942	0.0082787982	33.941125497	24	9.7415241942
24	2	9.7222751527	0.0101233632	33.941125497	48	9.7222751527
8	20	9.7071517554	-0.0052439186	35.77708764	160	9.7071517554
4	80	9.7131108475	-0.0109445621	35.77708764	320	9.7131108475
2	320	9.7596412415	-0.0027792107	35.77708764	640	9.7596412415
16	6	9.636118575	-0.0101603541	39.1918358845	96	9.636118575
8	24	9.6217432379	0.0210707915	39.1918358845	192	9.6217432379
4	96	9.6325205631	0.0155779762	39.1918358845	384	9.6325205631
2	384	9.6792384173	0.010892955	39.1918358845	768	9.6792384173
56	0.5	9.6866221408	-0.0262071654	39.5979797464	28	9.6866221408
40	1	9.6450847668	0.0073294638	40	40	9.6450847668
4	112	9.5850964021	0.0043397694	42.332020977	448	9.5850964021
64	0.5	9.5794257293	-0.0199835975	45.2548339959	32	9.5794257293
32	2	9.5220969239	0.0129224424	45.2548339959	64	9.5220969239
16	8	9.5387735428	-0.0328373817	45.2548339959	128	9.5387735428
8	32	9.5203534668	0.0087716404	45.2548339959	256	9.5203534668
4	128	9.5485919631	-0.0352100647	45.2548339959	512	9.5485919631
2	512	9.5483055814	-0.0146851555	45.2548339959	1024	9.5483055814
48	1	9.499226795	0.0055121645	48	48	9.499226795
24	4	9.4408029209	0.0231279966	48	96	9.4408029209
16	10	9.4072535945	-0.003909271	50.5964425627	160	9.4072535945
8	40	9.4027464987	0.0058511562	50.5964425627	320	9.4027464987
4	160	9.4676509042	-0.0056020523	50.5964425627	640	9.4676509042
72	0.5	9.4323128908	0.022362522	50.9116882454	36	9.4323128908
16	12	9.3174138587	-0.0016270997	55.4256258422	192	9.3174138587
8	48	9.3008138587	-0.0001749238	55.4256258422	384	9.3008138587
4	192	9.3999171698	-0.0248753628	55.4256258422	768	9.3999171698
56	1	9.3143904143	0.009882021	56	56	9.3143904143
80	0.5	9.3465622319	-0.0117833787	56.5685424949	40	9.3465622319
40	2	9.271269093	-0.016533518	56.5685424949	80	9.271269093
24	6	9.2476393817	-0.0493445958	58.7877538268	144	9.2476393817
8	56	9.2211094876	-0.0175044101	59.8665181884	448	9.2211094876
4	224	9.2274917118	0.0487327529	59.8665181884	896	9.2274917118
64	1	9.132537622	0.0308427578	64	64	9.132537622
32	4	9.107278809	-0.0198847078	64	128	9.107278809
16	16	9.0319794364	0.048342205	64	256	9.0319794364
8	64	9.1088696748	-0.0178833908	64	512	9.1088696748
4	256	9.0975565848	-0.010815696	64	1024	9.0975565848
96	0.5	9.0844153404	-0.015257805	67.8822509939	48	9.0844153404
48	2	8.9932419602	-0.0521095754	67.8822509939	96	8.9932419602
24	8	8.98866032	0.0115204052	67.8822509939	192	8.98866032
16	20	8.8683766313	0.0259383166	71.55417528	320	8.8683766313
8	80	9.0182329381	-0.1018216105	71.55417528	640	9.0182329381
4	320	9.0916227983	0.0288316647	71.55417528	1280	9.0916227983
72	1	8.9556913491	-0.0259456883	72	72	8.9556913491
24	10	8.7364886005	-0.0011982474	75.894663844	240	8.7364886005
32	6	8.7381626778	0.0018728748	78.3836717691	192	8.7381626778
16	24	8.7183828582	-0.0122551897	78.3836717691	384	8.7183828582
8	96	8.7196318764	0.032668541	78.3836717691	768	8.7196318764
4	384	8.8337361779	0.009549493	78.3836717691	1536	8.8337361779
112	0.5	8.7894671034	-0.0026459444	79.1959594929	56	8.7894671034
56	2	8.7577623117	-0.1279761884	79.1959594929	112	8.7577623117
80	1	8.6736134642	0.0174892156	80	80	8.6736134642
40	4	8.655709055	-0.0004005331	80	160	8.655709055
24	12	8.5578709673	0.0296469141	83.1384387633	288	8.5578709673
8	112	8.5544338027	-0.0817213651	84.6640419541	896	8.5544338027
128	0.5	8.5064435198	-0.0803231935	90.5096679919	64	8.5064435198
64	2	8.3747730414	-0.027624671	90.5096679919	128	8.3747730414
32	8	8.4634959724	-0.1094234139	90.5096679919	256	8.4634959724
16	32	8.3260757554	0.0823525873	90.5096679919	512	8.3260757554
8	128	8.4511242246	-0.0946140738	90.5096679919	1024	8.4511242246
4	512	8.4194825858	-0.031881995	90.5096679919	2048	8.4194825858
96	1	8.2575212242	0.0037877531	96	96	8.2575212242
48	4	8.1257670009	0.0390794578	96	192	8.1257670009
24	16	8.1453620994	0.0751396603	96	384	8.1453620994
40	6	8.0710679496	0.1088622505	97.9795897113	240	8.0710679496
32	10	8.0791459917	-0.0864316203	101.1928851254	320	8.0791459917
16	40	8.1235050394	-0.03902436	101.1928851254	640	8.1235050394
8	160	8.1687117775	0.0678005728	101.1928851254	1280	8.1687117775
144	0.5	8.0734844887	0.0966732025	101.8233764909	72	8.0734844887
72	2	8.0099313959	-0.0715260239	101.8233764909	144	8.0099313959
24	20	7.894393358	-0.0145624886	107.33126292	480	7.894393358
32	12	7.8206052335	-0.0563473134	110.8512516844	384	7.8206052335
16	48	7.7661708866	0.0353762651	110.8512516844	768	7.7661708866
8	192	7.9481519641	0.045271103	110.8512516844	1536	7.9481519641
112	1	7.8145896471	-0.0455675833	112	112	7.8145896471
56	4	7.5834543001	0.0460503901	112	224	7.5834543001
160	0.5	7.7650979962	0.1006475616	113.1370849898	80	7.7650979962
80	2	7.6457065055	0.1358722235	113.1370849898	160	7.6457065055
40	8	7.747631427	-0.1037453767	113.1370849898	320	7.747631427
48	6	7.4402250135	0.1252924109	117.5755076536	288	7.4402250135
24	24	7.5244375513	0.0946432419	117.5755076536	576	7.5244375513
16	56	7.4775244535	0.0715574607	119.7330363768	896	7.4775244535
8	224	7.6038757053	0.0853980585	119.7330363768	1792	7.6038757053
40	10	7.2773311199	0.016518149	126.4911064067	400	7.2773311199
180	0.5	7.3919916031	0.1083062755	127.2792206136	90	7.3919916031
128	1	7.3024457228	-0.0106473478	128	128	7.3024457228
64	4	7.2317346782	-0.0495021533	128	256	7.2317346782
32	16	7.3206480776	-0.0606156553	128	512	7.3206480776
16	64	7.3325210272	0.007682546	128	1024	7.3325210272
8	256	7.3311883257	-0.0974294103	128	2048	7.3311883257
96	2	7.1130947152	-0.0811327754	135.7645019878	192	7.1130947152
48	8	7.1199026643	-0.0956288488	135.7645019878	384	7.1199026643
24	32	7.1155703141	-0.0985532035	135.7645019878	768	7.1155703141
56	6	6.9092688699	0.0747211981	137.1714255959	336	6.9092688699
40	12	7.0195246551	0.0030578828	138.5640646055	480	7.0195246551
32	20	6.8011022721	0.1032544581	143.10835056	640	6.8011022721
16	80	6.9297952756	0.0793538601	143.10835056	1280	6.9297952756
8	320	7.365793704	0.022137649	143.10835056	2560	7.365793704
144	1	6.8812037556	0.0574051785	144	144	6.8812037556
72	4	6.6660381104	0.0739251677	144	288	6.6660381104
48	10	6.560975023	0.1022685539	151.7893276881	480	6.560975023
24	40	6.6885403071	-0.0738400228	151.7893276881	960	6.6885403071
64	6	6.5327004621	-0.0185106032	156.7673435381	384	6.5327004621
32	24	6.6007055522	-0.0711373743	156.7673435381	768	6.6007055522
16	96	6.5953251087	0.0325047077	156.7673435381	1536	6.5953251087
8	384	6.8568337688	-0.0375456439	156.7673435381	3072	6.8568337688
112	2	6.3622964876	0.0264112641	158.3919189858	224	6.3622964876
56	8	6.4622263028	-0.0330766604	158.3919189858	448	6.4622263028
160	1	6.447826802	-0.1052408147	160	160	6.447826802
80	4	6.3981646505	-0.0010515135	160	320	6.3981646505
40	16	6.5292012988	-0.0889129364	160	640	6.5292012988
48	12	6.3970888969	-0.1676856616	166.2768775266	576	6.3970888969
24	48	6.2014574798	0.0958268286	166.2768775266	1152	6.2014574798
16	112	6.1050638233	0.1669453882	169.3280839081	1792	6.1050638233
72	6	5.9712312801	0.0519145656	176.3632614804	432	5.9712312801
56	10	6.1574205433	-0.1110938279	177.0875489694	560	6.1574205433
40	20	6.1642171555	-0.0952597124	178.8854382	800	6.1642171555
24	56	6.0474491972	0.0093868573	179.5995545652	1344	6.0474491972
180	1	6.0945833864	-0.0843612474	180	180	6.0945833864
