Title	Average	Min95	Min99	Max99	Max95
Standard	5.52298910714286	5.39506768219721	5.35486380578573	5.69111440849999	5.6509105320885
FastHook	4.24954280867347	4.1269592382538	4.08843297326477	4.41065264408217	4.37212637909313
